,sLapDistance,xCarX,xCarY,aYaw,vCar
00:09.8,498.19,38.71,39.45,-157.07,245.37
00:09.8,501.6,41.87,40.71,-156.11,246.12
00:09.9,505.03,45.02,42.01,-155.79,246.81
00:10.0,508.46,48.16,43.35,-155.9,247.55
00:10.0,511.9,51.31,44.72,-155.9,248.31
00:10.1,515.36,54.46,46.11,-155.73,249.04
00:10.1,518.82,57.61,47.52,-155.38,249.78
00:10.2,522.29,60.77,48.94,-154.82,250.55
00:10.2,525.78,63.93,50.38,-154.51,251.36
00:10.2,529.27,67.09,51.85,-154.94,252.08
00:10.3,532.78,70.27,53.31,-155.6,252.81
00:10.4,536.3,73.45,54.77,-156.18,253.52
00:10.4,539.82,76.66,56.21,-156.64,254.22
00:10.5,543.36,79.89,57.63,-157.34,254.92
00:10.5,546.9,83.13,59.03,-158.02,255.6
00:10.6,550.45,86.4,60.4,-158.6,256.29
00:10.6,554.02,89.69,61.74,-159.21,256.96
00:10.7,557.59,93.01,63.05,-159.78,257.62
00:10.7,561.17,96.34,64.33,-160.46,258.26
00:10.7,564.76,99.7,65.57,-161.1,258.9
00:10.8,568.37,103.08,66.78,-161.67,259.55
00:10.9,571.98,106.49,67.96,-162.17,260.2
00:10.9,575.59,109.91,69.11,-162.58,260.84
00:11.0,579.22,113.35,70.22,-163.03,261.5
00:11.0,582.86,116.81,71.32,-163.51,262.14
00:11.1,586.5,120.29,72.38,-164.13,262.77
00:11.1,590.15,123.78,73.41,-164.7,262.56
00:11.2,593.79,127.27,74.41,-165,260.62
00:11.2,597.39,130.73,75.37,-164.86,257.88
00:11.3,600.95,134.15,76.3,-164.82,254.77
00:11.3,604.46,137.54,77.22,-165.06,251.62
00:11.4,607.93,140.89,78.12,-165.21,249.17
00:11.4,611.38,144.21,79.01,-165.56,246.45
00:11.5,614.78,147.48,79.89,-165.89,242.21
00:11.5,618.1,150.7,80.73,-165.79,237.1
00:11.6,621.37,153.85,81.56,-165.21,233.5
00:11.6,624.59,156.97,82.37,-164.85,230.47
00:11.6,627.77,160.04,83.18,-164.49,228.44
00:11.7,630.93,163.1,83.98,-164,227.24
00:11.7,634.08,166.14,84.78,-163.49,225.53
00:11.8,637.19,169.15,85.58,-162.99,223.06
00:11.8,640.27,172.12,86.37,-162.79,219.54
00:11.9,643.29,175.04,87.15,-162.94,216.15
00:11.9,646.27,177.92,87.94,-162.61,213.6
00:12.0,649.22,180.76,88.73,-162.22,210.6
00:12.0,652.12,183.55,89.52,-162.05,207.58
00:12.1,654.98,186.3,90.33,-162.59,204.87
00:12.2,657.81,189.01,91.14,-163.37,202.94
00:12.2,660.62,191.7,91.94,-163.76,201.68
00:12.3,663.41,194.38,92.75,-164.03,200.75
00:12.3,666.19,197.04,93.54,-164.21,199.53
00:12.4,668.95,199.68,94.34,-164.01,197.39
00:12.4,671.67,202.28,95.13,-162.95,193.42
00:12.4,674.33,204.81,95.93,-161.51,189.49
00:12.5,676.94,207.3,96.74,-160.76,186.68
00:12.6,679.51,209.73,97.57,-160.07,184
00:12.6,682.05,212.12,98.42,-158.56,181.14
00:12.7,684.54,214.46,99.28,-157.27,177.9
00:12.7,686.99,216.74,100.18,-156.46,174.65
00:12.8,689.39,218.96,101.1,-155.86,171.47
00:12.8,691.75,221.12,102.05,-154.96,168.38
00:12.9,694.07,223.23,103.02,-153.81,165.42
00:12.9,696.35,225.28,104,-152.89,162.43
00:12.9,698.59,227.28,105,-151.98,159.35
00:13.0,700.78,229.22,106.01,-151.06,156.37
00:13.1,702.93,231.12,107.04,-150.26,153.49
00:13.1,705.04,232.96,108.08,-149.3,150.69
00:13.1,707.12,234.75,109.12,-148.33,147.96
00:13.2,709.15,236.49,110.17,-147.54,145.22
00:13.2,711.15,238.18,111.23,-146.69,142.48
00:13.3,713.11,239.83,112.3,-145.67,139.81
00:13.3,715.03,241.42,113.38,-144.65,137.24
00:13.4,716.92,242.96,114.47,-143.54,134.81
00:13.4,718.78,244.46,115.57,-142.32,132.55
00:13.5,720.6,245.91,116.67,-141.07,130.44
00:13.6,722.4,247.32,117.78,-139.96,128.41
00:13.6,724.17,248.69,118.91,-138.72,126.45
