,sLapDistance,xCarX,xCarY,aYaw,vCar
00:19.6,1654.94,525.64,-417.92,129.01,142.87
00:19.6,1656.9,526.9,-419.43,128.48,140.29
00:19.6,1658.84,528.12,-420.93,127.79,137.73
00:19.7,1660.73,529.31,-422.41,127.03,135.19
00:19.7,1662.59,530.45,-423.87,126.33,132.68
00:19.8,1664.42,531.57,-425.32,125.67,130.24
00:19.8,1666.21,532.64,-426.75,124.89,127.75
00:19.9,1667.96,533.68,-428.17,124.04,125.27
00:20.0,1669.69,534.67,-429.58,123.24,122.74
00:20.0,1671.37,535.63,-430.97,122.73,120.21
00:20.1,1673.03,536.54,-432.34,122.26,117.85
00:20.1,1674.65,537.43,-433.7,121.6,115.52
00:20.1,1676.24,538.27,-435.05,120.92,113.23
00:20.2,1677.79,539.09,-436.37,120.15,111.04
00:20.3,1679.32,539.87,-437.68,119.32,108.93
00:20.3,1680.82,540.62,-438.98,118.56,106.83
00:20.4,1682.29,541.33,-440.27,117.7,104.72
00:20.4,1683.73,542,-441.54,116.65,102.7
00:20.5,1685.14,542.64,-442.8,115.68,100.77
00:20.5,1686.53,543.25,-444.05,114.75,98.94
00:20.5,1687.89,543.82,-445.29,113.52,97.17
00:20.6,1689.23,544.35,-446.51,112.05,95.43
00:20.6,1690.54,544.85,-447.73,110.65,93.74
00:20.7,1691.83,545.31,-448.93,109.28,92.06
00:20.8,1693.1,545.74,-450.13,107.81,90.43
00:20.8,1694.34,546.13,-451.31,106.37,88.77
00:20.8,1695.57,546.48,-452.48,104.89,87.22
00:20.9,1696.77,546.79,-453.64,103.33,85.73
00:21.0,1697.95,547.06,-454.79,101.77,84.23
00:21.0,1699.11,547.3,-455.92,100.24,82.62
00:21.1,1700.24,547.51,-457.04,98.62,80.97
00:21.1,1701.36,547.68,-458.14,96.71,79.3
00:21.1,1702.45,547.82,-459.22,94.75,77.63
00:21.2,1703.51,547.92,-460.28,92.93,76.02
00:21.2,1704.56,547.99,-461.32,91.19,74.6
00:21.3,1705.58,548.03,-462.35,89.57,73.31
00:21.4,1706.59,548.02,-463.36,88.02,72.15
00:21.4,1707.59,547.99,-464.35,86.32,71.11
00:21.5,1708.57,547.92,-465.33,84.52,70.18
00:21.5,1709.54,547.82,-466.3,82.8,69.3
00:21.5,1710.5,547.69,-467.24,81.09,68.37
00:21.6,1711.44,547.53,-468.17,79.26,67.38
00:21.7,1712.37,547.33,-469.08,77.32,66.33
00:21.7,1713.29,547.11,-469.97,75.28,65.23
00:21.8,1714.19,546.86,-470.83,73.07,64.13
00:21.8,1715.08,546.58,-471.67,70.8,63.06
00:21.9,1715.95,546.28,-472.48,68.59,62
00:21.9,1716.8,545.95,-473.27,66.44,60.91
00:22.0,1717.64,545.59,-474.03,64.26,59.8
00:22.0,1718.47,545.21,-474.76,62,58.71
00:22.1,1719.28,544.81,-475.46,59.72,57.65
00:22.1,1720.08,544.39,-476.13,57.4,56.57
00:22.1,1720.86,543.94,-476.76,55,55.53
00:22.2,1721.63,543.48,-477.37,52.56,54.62
00:22.3,1722.39,542.99,-477.95,50.07,53.87
00:22.3,1723.14,542.49,-478.5,47.54,53.28
00:22.4,1723.89,541.96,-479.01,45,52.81
00:22.4,1724.62,541.42,-479.5,42.45,52.38
00:22.5,1725.35,540.86,-479.96,39.9,51.94
00:22.5,1726.08,540.28,-480.39,37.35,51.46
00:22.6,1726.79,539.7,-480.79,34.78,50.82
00:22.6,1727.5,539.1,-481.15,32.02,50.1
00:22.7,1728.2,538.49,-481.48,29.15,49.46
00:22.7,1728.89,537.87,-481.77,26.29,48.87
00:22.8,1729.58,537.25,-482.03,23.44,48.3
00:22.8,1730.25,536.62,-482.26,20.71,47.76
00:22.9,1730.92,535.99,-482.45,17.97,47.26
00:22.9,1731.59,535.36,-482.61,15.16,46.83
00:23.0,1732.24,534.72,-482.73,12.29,46.43
00:23.0,1732.9,534.09,-482.81,9.37,46.06
00:23.1,1733.54,533.45,-482.87,6.4,45.75
00:23.1,1734.19,532.82,-482.89,3.36,45.62
00:23.1,1734.84,532.18,-482.87,0.36,45.81
00:23.2,1735.48,531.55,-482.83,-2.45,46.15
00:23.2,1736.14,530.91,-482.76,-5.37,46.65
00:23.3,1736.8,530.26,-482.64,-8.54,47.3
00:23.3,1737.48,529.62,-482.5,-11.6,47.99
00:23.4,1738.16,528.97,-482.32,-14.55,48.59
00:23.5,1738.85,528.33,-482.11,-17.59,49.24
00:23.5,1739.54,527.68,-481.86,-20.49,49.9
00:23.6,1740.25,527.05,-481.58,-23.15,50.5
00:23.6,1740.96,526.41,-481.26,-25.86,51.11
00:23.6,1741.68,525.79,-480.92,-28.66,51.81
00:23.7,1742.42,525.17,-480.53,-31.47,52.6
00:23.8,1743.16,524.57,-480.12,-34.27,53.43
00:23.8,1743.91,523.97,-479.67,-37.03,54.24
00:23.8,1744.68,523.38,-479.2,-39.69,55
00:23.9,1745.45,522.8,-478.69,-42.32,55.79
00:23.9,1746.23,522.23,-478.15,-44.89,56.61
00:24.0,1747.03,521.68,-477.58,-47.28,57.48
00:24.0,1747.83,521.14,-476.99,-49.51,58.31
00:24.1,1748.65,520.62,-476.36,-51.64,59.21
00:24.1,1749.48,520.11,-475.7,-53.53,60.18
00:24.2,1750.33,519.62,-475.02,-55.2,61.31
00:24.2,1751.19,519.14,-474.31,-56.78,62.54
00:24.3,1752.07,518.67,-473.57,-58.23,63.84
00:24.4,1752.97,518.21,-472.8,-59.62,65.2
00:24.4,1753.89,517.76,-472,-61,66.6
00:24.4,1754.82,517.31,-471.18,-62.36,67.99
00:24.5,1755.77,516.88,-470.33,-63.72,69.31
00:24.6,1756.74,516.46,-469.46,-65.06,70.55
00:24.6,1757.73,516.04,-468.56,-66.41,71.67
00:24.6,1758.73,515.64,-467.64,-67.73,72.75
00:24.7,1759.75,515.25,-466.7,-68.95,73.83
00:24.8,1760.79,514.87,-465.74,-70.02,74.96
00:24.8,1761.83,514.5,-464.76,-70.84,76.15
00:24.8,1762.9,514.15,-463.75,-71.48,77.5
00:24.9,1763.99,513.8,-462.72,-72.04,78.96
00:24.9,1765.09,513.46,-461.67,-72.57,80.43
