,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:07.0,435.14,-106.11,-426.5,13.59,223.97,,,
00:07.0,438.25,-109.13,-427.24,13.41,223.59,,,
00:07.0,441.35,-112.15,-427.97,13.19,223.23,,,
00:07.1,444.45,-115.16,-428.68,12.81,222.86,,,
00:07.1,447.54,-118.18,-429.37,12.24,222.46,,,
00:07.2,450.63,-121.19,-430.04,11.56,222.06,,,
00:07.3,453.71,-124.2,-430.68,10.87,221.46,,,
00:07.3,456.77,-127.21,-431.29,10.17,220.52,,,
00:07.3,459.83,-130.21,-431.87,9.48,219.37,,,
00:07.4,462.87,-133.2,-432.41,8.7,218.01,,,
00:07.5,465.88,-136.18,-432.92,8.01,216.61,,,
00:07.5,468.88,-139.14,-433.39,7.42,215.2,,,
00:07.5,471.86,-142.08,-433.82,6.81,213.76,,,
00:07.6,474.82,-145.02,-434.22,5.99,212.25,,,
00:07.6,477.75,-147.93,-434.59,5.02,210.66,,,
00:07.7,480.67,-150.83,-434.91,4.24,209.1,,,
00:07.8,483.56,-153.71,-435.19,3.43,207.52,,,
00:07.8,486.43,-156.57,-435.43,2.75,206.01,,,
00:07.8,489.29,-159.41,-435.62,2.21,204.54,,,
00:07.9,492.12,-162.24,-435.78,1.62,203.12,,,
00:08.0,494.93,-165.05,-435.9,0.77,201.66,,,
00:08.0,497.72,-167.84,-435.99,-0.19,200.07,,,
00:08.1,500.48,-170.6,-436.03,-1.2,198.43,,,
00:08.1,503.23,-173.35,-436.04,-2.27,196.84,,,
00:08.1,505.95,-176.07,-435.99,-3.37,195.43,,,
00:08.2,508.65,-178.77,-435.91,-4.49,194.04,,,
00:08.3,511.34,-181.46,-435.78,-5.75,192.56,,,
00:08.3,514,-184.11,-435.61,-7.03,191.03,,,
00:08.3,516.64,-186.75,-435.39,-8.27,189.45,,,
00:08.4,519.26,-189.35,-435.12,-9.49,187.87,,,
00:08.4,521.86,-191.93,-434.8,-10.64,186.32,,,
00:08.5,524.43,-194.48,-434.43,-11.8,184.75,,,
00:08.6,526.99,-197,-434.02,-12.98,183.19,,,
00:08.6,529.52,-199.5,-433.57,-14.15,181.62,,,
00:08.7,532.03,-201.96,-433.07,-15.15,180.13,,,
00:08.7,534.52,-204.39,-432.53,-15.88,178.67,,,
00:08.8,536.99,-206.79,-431.95,-16.75,177.17,,,
00:08.8,539.44,-209.16,-431.34,-17.85,175.63,,,
00:08.8,541.87,-211.5,-430.69,-18.82,174.06,,,
00:08.9,544.28,-213.8,-429.99,-19.72,172.45,,,
00:08.9,546.66,-216.07,-429.25,-20.63,170.95,,,
00:09.0,549.03,-218.3,-428.48,-21.53,169.53,,,
00:09.0,551.37,-220.5,-427.67,-22.47,168.14,,,
00:09.1,553.69,-222.67,-426.84,-23.4,166.76,,,
00:09.2,556,-224.8,-425.97,-24.32,165.37,,,
00:09.2,558.29,-226.91,-425.08,-25.33,164,,,
00:09.3,560.55,-228.98,-424.16,-26.34,162.67,,,
00:09.3,562.8,-231.02,-423.21,-27.33,161.36,,,
00:09.3,565.03,-233.03,-422.25,-28.5,160.1,,,
00:09.4,567.25,-235.01,-421.25,-29.83,158.94,,,
00:09.5,569.45,-236.95,-420.22,-31.12,157.91,,,
00:09.5,571.63,-238.86,-419.16,-32.4,157,,,
00:09.6,573.81,-240.74,-418.07,-33.64,156.17,,,
00:09.6,575.97,-242.59,-416.94,-34.72,155.38,,,
00:09.7,578.12,-244.4,-415.79,-35.73,154.64,,,
00:09.7,580.26,-246.19,-414.6,-36.89,153.96,,,
00:09.8,582.39,-247.94,-413.39,-38.18,153.31,,,
00:09.8,584.51,-249.66,-412.15,-39.47,152.62,,,
00:09.8,586.63,-251.35,-410.87,-40.67,151.84,,,
00:09.9,588.73,-253,-409.57,-41.82,150.97,,,
00:10.0,590.82,-254.61,-408.24,-43.03,150.02,,,
00:10.0,592.89,-256.18,-406.88,-44.3,149.06,,,
00:10.1,594.96,-257.71,-405.5,-45.45,148.16,,,
00:10.1,597.01,-259.2,-404.1,-46.45,147.32,,,
00:10.2,599.05,-260.66,-402.67,-47.47,146.57,,,
00:10.2,601.08,-262.08,-401.22,-48.68,145.93,,,
00:10.2,603.1,-263.47,-399.75,-50,145.32,,,
00:10.3,605.11,-264.82,-398.26,-51.33,144.69,,,
00:10.4,607.11,-266.13,-396.74,-52.67,144.04,,,
00:10.4,609.11,-267.41,-395.21,-54.08,143.36,,,
00:10.5,611.09,-268.64,-393.65,-55.41,142.65,,,
00:10.5,613.07,-269.82,-392.07,-56.63,141.95,,,
00:10.6,615.03,-270.96,-390.47,-57.8,141.3,,,
00:10.6,616.99,-272.07,-388.85,-58.95,140.68,,,
00:10.7,618.94,-273.13,-387.22,-60.03,140.11,,,
00:10.7,620.88,-274.16,-385.57,-61.08,139.55,,,
00:10.7,622.81,-275.15,-383.91,-62.29,138.99,,,
00:10.8,624.74,-276.1,-382.24,-63.6,138.39,,,
00:10.9,626.65,-277.01,-380.55,-64.87,137.76,,,
00:10.9,628.56,-277.88,-378.85,-66.14,137.08,,,
00:11.0,630.46,-278.7,-377.14,-67.48,136.34,,,
00:11.0,632.34,-279.49,-375.42,-68.82,135.59,,,
00:11.1,634.22,-280.22,-373.7,-70.07,134.83,,,
00:11.1,636.09,-280.92,-371.97,-71.32,134.07,,,
00:11.2,637.94,-281.57,-370.23,-72.67,133.32,,,
00:11.2,639.79,-282.18,-368.49,-74.02,132.61,,,
00:11.3,641.62,-282.74,-366.74,-75.3,131.98,,,
00:11.3,643.45,-283.27,-364.99,-76.55,131.39,,,
00:11.4,645.27,-283.75,-363.23,-77.8,130.82,,,
00:11.4,647.08,-284.18,-361.47,-79.04,130.26,,,
00:11.5,648.89,-284.58,-359.71,-80.33,129.7,,,
00:11.5,650.68,-284.93,-357.95,-81.66,129.14,,,
00:11.6,652.47,-285.25,-356.19,-83.01,128.56,,,
00:11.6,654.25,-285.51,-354.43,-84.39,127.99,,,
00:11.6,656.02,-285.74,-352.67,-85.74,127.41,,,
00:11.7,657.79,-285.92,-350.91,-87.01,126.78,,,
00:11.7,659.54,-286.06,-349.16,-88.23,126.16,,,
00:11.8,661.29,-286.15,-347.42,-89.42,125.56,,,
00:11.8,663.03,-286.22,-345.68,-90.7,124.96,,,
00:11.9,664.76,-286.24,-343.95,-92.19,124.33,,,
00:11.9,666.48,-286.23,-342.23,-93.81,123.68,,,
00:12.0,668.19,-286.17,-340.52,-95.33,123,,,
00:12.0,669.89,-286.06,-338.82,-96.74,122.32,,,
00:12.1,671.58,-285.91,-337.13,-98.15,121.66,,,
00:12.2,673.27,-285.72,-335.46,-99.55,121.01,,,
00:12.2,674.94,-285.49,-333.8,-100.87,120.39,,,
00:12.3,676.61,-285.22,-332.15,-102.12,119.77,,,
00:12.3,678.27,-284.91,-330.52,-103.41,119.16,,,
00:12.4,679.92,-284.56,-328.91,-104.88,118.54,,,
00:12.4,681.56,-284.18,-327.32,-106.41,117.92,,,
00:12.4,683.19,-283.75,-325.74,-107.75,117.36,,,
00:12.5,684.82,-283.29,-324.18,-108.99,116.99,,,
00:12.6,686.44,-282.79,-322.64,-110.36,116.69,,,
00:12.6,688.06,-282.26,-321.11,-111.82,116.42,,,
00:12.7,689.67,-281.69,-319.6,-113.16,116.15,,,
00:12.7,691.28,-281.09,-318.11,-114.39,115.88,,,
00:12.8,692.89,-280.45,-316.63,-115.7,115.65,,,
00:12.8,694.49,-279.77,-315.18,-117.16,115.44,,,
00:12.9,696.1,-279.06,-313.74,-118.63,115.24,,,
00:12.9,697.7,-278.32,-312.32,-120.01,115.03,,,
00:12.9,699.29,-277.54,-310.93,-121.38,114.76,,,
00:13.0,700.88,-276.73,-309.57,-122.82,114.23,,,
00:13.1,702.46,-275.89,-308.23,-124.35,113.67,,,
00:13.1,704.04,-275.01,-306.92,-125.92,113.1,,,
00:13.1,705.6,-274.11,-305.64,-127.51,112.54,,,
00:13.2,707.16,-273.18,-304.38,-129.16,111.96,,,
00:13.2,708.71,-272.23,-303.16,-130.84,111.34,,,
00:13.3,710.25,-271.25,-301.97,-132.49,110.68,,,
00:13.3,711.78,-270.24,-300.82,-134.1,110.01,,,
00:13.4,713.3,-269.21,-299.7,-135.68,109.34,,,
00:13.4,714.82,-268.16,-298.61,-137.23,108.71,,,
00:13.5,716.32,-267.08,-297.56,-138.74,108.11,,,
00:13.6,717.82,-265.98,-296.55,-140.17,107.52,,,
00:13.6,719.31,-264.86,-295.56,-141.52,106.93,,,
00:13.6,720.79,-263.73,-294.61,-142.89,106.36,,,
00:13.7,722.26,-262.58,-293.7,-144.27,105.79,,,
00:13.8,723.72,-261.41,-292.81,-145.62,105.24,,,
00:13.8,725.18,-260.22,-291.97,-146.98,104.68,,,
00:13.9,726.63,-259.02,-291.15,-148.4,104.13,,,
00:13.9,728.07,-257.81,-290.37,-149.9,103.59,,,
00:14.0,729.5,-256.58,-289.63,-151.43,103.05,,,
00:14.0,730.93,-255.34,-288.92,-152.95,102.51,,,
00:14.1,732.35,-254.09,-288.26,-154.39,101.99,,,
00:14.1,733.76,-252.82,-287.63,-155.76,101.48,,,
00:14.2,735.17,-251.55,-287.04,-157.13,100.98,,,
00:14.2,736.56,-250.26,-286.48,-158.6,100.5,,,
00:14.3,737.96,-248.97,-285.96,-160.15,100.01,,,
00:14.3,739.34,-247.67,-285.47,-161.69,99.52,,,
00:14.3,740.72,-246.37,-285.02,-163.21,99.02,,,
00:14.4,742.09,-245.06,-284.61,-164.74,98.53,,,
00:14.5,743.45,-243.75,-284.24,-166.28,98.04,,,
00:14.5,744.81,-242.43,-283.9,-167.8,97.56,,,
00:14.6,746.16,-241.12,-283.6,-169.34,97.08,,,
00:14.6,747.51,-239.8,-283.34,-170.91,96.61,,,
00:14.6,748.84,-238.48,-283.11,-172.46,96.13,,,
00:14.7,750.17,-237.16,-282.92,-174.02,95.65,,,
00:14.7,751.5,-235.84,-282.77,-175.63,95.17,,,
00:14.8,752.82,-234.53,-282.65,-177.26,94.7,,,
00:14.8,754.13,-233.22,-282.57,-178.83,94.23,,,
00:14.9,755.43,-231.92,-282.53,107.63,93.77,,,
00:14.9,756.73,-230.62,-282.53,178.05,93.31,,,
00:15.0,758.02,-229.32,-282.56,176.45,92.87,,,
00:15.0,759.31,-228.04,-282.63,174.86,92.43,,,
00:15.1,760.59,-226.76,-282.73,173.34,92.01,,,
00:15.1,761.86,-225.5,-282.87,171.88,91.58,,,
00:15.2,763.13,-224.24,-283.04,170.43,91.17,,,
00:15.2,764.4,-222.99,-283.24,168.92,90.77,,,
00:15.3,765.65,-221.76,-283.48,167.34,90.36,,,
00:15.3,766.91,-220.54,-283.75,165.71,89.9,,,
