,sLapDistance,xCarX,xCarY,vCar,aYaw
00:08.3,507.51,386.35,81.74,161.95,-117.28
00:08.4,509.76,387.51,83.66,161.52,-116.13
00:08.4,512,388.63,85.6,161.09,-115.05
00:08.5,514.23,389.7,87.56,160.66,-114.08
00:08.6,516.46,390.72,89.54,160.27,-113.26
00:08.6,518.68,391.69,91.54,159.92,-112.61
00:08.7,520.9,392.61,93.56,159.59,-111.92
00:08.7,523.11,393.49,95.59,159.28,-111.01
00:08.8,525.32,394.33,97.64,159.01,-109.86
00:08.8,527.53,395.12,99.7,158.82,-108.82
00:08.8,529.73,395.87,101.77,158.64,-107.57
00:08.9,531.94,396.57,103.86,158.61,-105.91
00:08.9,534.14,397.23,105.96,158.55,-104.39
00:09.0,536.34,397.84,108.08,158.51,-103.09
00:09.0,538.54,398.41,110.2,158.5,-101.79
00:09.1,540.74,398.93,112.34,158.55,-100.41
00:09.2,542.94,399.4,114.5,158.68,-99.04
00:09.2,545.15,399.82,116.66,158.83,-97.75
00:09.3,547.35,400.19,118.84,159.1,-96.52
00:09.3,549.56,400.51,121.03,159.42,-95.3
00:09.3,551.78,400.79,123.22,159.76,-94
00:09.4,554,401.01,125.43,160.13,-92.82
00:09.5,556.22,401.2,127.65,160.44,-91.75
00:09.5,558.45,401.33,129.88,160.77,-90.52
00:09.6,560.69,401.42,132.11,161.17,-89.17
00:09.6,562.93,401.46,134.35,161.57,-87.84
00:09.7,565.17,401.46,136.6,162,-86.54
00:09.7,567.43,401.4,138.85,162.52,-85.44
00:09.8,569.69,401.3,141.11,163.11,-84.59
00:09.8,571.96,401.16,143.38,163.85,-83.88
00:09.8,574.24,400.97,145.65,164.72,-83.09
00:09.9,576.53,400.75,147.93,165.71,-82.22
00:10.0,578.84,400.48,150.23,166.66,-81.53
00:10.0,581.16,400.18,152.53,167.56,-80.86
00:10.1,583.49,399.85,154.84,168.48,-80.04
00:10.1,585.84,399.49,157.15,169.38,-79.17
00:10.2,588.2,399.09,159.48,170.26,-78.22
00:10.2,590.57,398.65,161.81,171.14,-77.16
00:10.2,592.95,398.18,164.14,171.99,-76.07
00:10.3,595.34,397.66,166.48,172.84,-75.01
00:10.4,597.75,397.11,168.82,173.77,-74.16
00:10.4,600.17,396.51,171.17,174.61,-73.85
00:10.5,602.6,395.88,173.52,175.36,-73.45
00:10.5,605.04,395.23,175.87,176.21,-72.52
00:10.6,607.49,394.54,178.22,177.19,-71.61
00:10.6,609.96,393.81,180.58,178,-71.26
00:10.7,612.44,393.06,182.94,178.77,-70.87
00:10.7,614.93,392.27,185.3,179.66,-70.3
00:10.7,617.43,391.46,187.67,180.56,-69.89
00:10.8,619.94,390.63,190.04,181.42,-69.56
00:10.9,622.47,389.77,192.41,182.26,-69.27
00:10.9,625,388.89,194.79,183.12,-68.91
00:11.0,627.55,387.99,197.18,183.98,-68.53
00:11.0,630.11,387.07,199.57,184.78,-68.19
00:11.1,632.68,386.13,201.96,185.6,-67.74
00:11.1,635.27,385.17,204.36,186.45,-67.3
00:11.2,637.86,384.18,206.76,187.27,-66.98
00:11.2,640.47,383.18,209.16,188.06,-66.68
00:11.3,643.09,382.16,211.57,188.86,-66.38
00:11.3,645.72,381.12,213.99,189.66,-66.11
00:11.4,648.36,380.07,216.41,190.46,-65.87
00:11.4,651.01,378.99,218.83,191.21,-65.64
00:11.5,653.67,377.91,221.26,192.01,-65.4
00:11.5,656.34,376.81,223.7,192.77,-65.23
00:11.6,659.02,375.7,226.14,193.54,-65.09
00:11.6,661.72,374.57,228.58,194.31,-65.01
00:11.6,664.42,373.44,231.04,195.08,-64.95
00:11.7,667.14,372.3,233.5,195.85,-64.91
00:11.7,669.86,371.15,235.97,196.59,-64.98
00:11.8,672.59,369.99,238.45,197.31,-65.12
00:11.8,675.34,368.84,240.94,198.03,-65.3
00:11.9,678.1,367.68,243.44,198.78,-65.47
00:11.9,680.86,366.52,245.95,199.5,-65.63
00:12.0,683.64,365.37,248.48,200.21,-65.78
00:12.0,686.42,364.22,251.01,200.9,-65.94
00:12.1,689.22,363.07,253.56,201.6,-66.12
00:12.2,692.02,361.93,256.12,202.31,-66.24
00:12.2,694.84,360.79,258.7,203.02,-66.36
00:12.3,697.66,359.65,261.28,203.69,-66.52
00:12.3,700.5,358.51,263.87,204.34,-66.67
00:12.4,703.34,357.38,266.48,205.01,-66.81
00:12.4,706.19,356.25,269.1,205.68,-66.93
00:12.4,709.05,355.12,271.73,206.32,-67.05
00:12.5,711.92,353.99,274.37,207.02,-67.15
00:12.6,714.8,352.86,277.02,207.69,-67.18
00:12.6,717.69,351.74,279.68,208.33,-67.19
00:12.7,720.59,350.61,282.35,208.93,-67.22
00:12.7,723.49,349.48,285.02,209.59,-67.26
00:12.8,726.41,348.35,287.71,210.23,-67.31
00:12.8,729.33,347.22,290.41,210.87,-67.37
00:12.9,732.27,346.09,293.11,211.48,-67.42
00:12.9,735.21,344.96,295.83,212.09,-67.51
00:12.9,738.16,343.82,298.55,212.75,-67.6
00:13.0,741.12,342.69,301.28,213.3,-67.69
00:13.1,744.08,341.56,304.03,213.93,-67.83
00:13.1,747.06,340.43,306.78,214.56,-67.93
00:13.1,750.04,339.31,309.54,215.16,-68.01
00:13.2,753.04,338.18,312.31,215.74,-68.09
00:13.2,756.04,337.06,315.09,216.33,-68.17
00:13.3,759.05,335.93,317.88,216.92,-68.24
