,sLapDistance,xCarX,xCarY,vCar,aYaw
00:50.9,2266.27,-248.86,-12.65,101.25,104.34
00:51.0,2267.67,-248.53,-14.01,100.36,105.86
00:51.0,2269.06,-248.17,-15.35,99.59,107.45
00:51.0,2270.44,-247.77,-16.67,98.85,109.03
00:51.1,2271.8,-247.34,-17.97,98.09,110.69
00:51.2,2273.16,-246.88,-19.24,97.38,112.45
00:51.2,2274.51,-246.38,-20.49,96.67,114.21
00:51.2,2275.84,-245.84,-21.72,95.98,115.99
00:51.3,2277.17,-245.28,-22.92,95.31,117.79
00:51.3,2278.49,-244.68,-24.09,94.68,119.57
00:51.4,2279.8,-244.05,-25.24,94.1,121.39
00:51.5,2281.1,-243.38,-26.36,93.54,123.22
00:51.5,2282.4,-242.69,-27.46,92.98,124.97
00:51.6,2283.69,-241.97,-28.52,92.45,126.69
00:51.6,2284.97,-241.22,-29.56,91.95,128.43
00:51.6,2286.24,-240.44,-30.56,91.47,130.15
00:51.7,2287.5,-239.63,-31.54,90.99,131.84
00:51.7,2288.77,-238.8,-32.49,90.51,133.54
00:51.8,2290.02,-237.95,-33.4,90.02,135.25
00:51.9,2291.26,-237.07,-34.28,89.47,136.99
00:51.9,2292.5,-236.17,-35.13,88.89,138.76
00:52.0,2293.73,-235.25,-35.95,88.27,140.6
00:52.0,2294.95,-234.31,-36.73,87.63,142.49
00:52.0,2296.17,-233.36,-37.48,86.96,144.39
00:52.1,2297.37,-232.39,-38.18,86.28,146.29
00:52.2,2298.56,-231.4,-38.85,85.6,148.2
00:52.2,2299.75,-230.4,-39.48,84.97,150.11
00:52.3,2300.92,-229.38,-40.08,84.49,151.96
00:52.3,2302.1,-228.35,-40.63,84.34,153.77
00:52.4,2303.27,-227.3,-41.15,84.39,155.55
00:52.4,2304.44,-226.24,-41.64,84.58,157.22
00:52.5,2305.62,-225.15,-42.09,84.84,158.79
00:52.5,2306.8,-224.05,-42.52,85.17,160.4
00:52.6,2307.98,-222.93,-42.91,85.59,162.09
00:52.6,2309.18,-221.8,-43.27,86.06,163.86
00:52.6,2310.38,-220.64,-43.59,86.58,165.64
00:52.7,2311.58,-219.48,-43.89,87.11,167.41
00:52.7,2312.8,-218.29,-44.15,87.63,169.2
00:52.8,2314.02,-217.09,-44.37,88.14,171.11
00:52.8,2315.25,-215.88,-44.56,88.67,173.07
00:52.9,2316.48,-214.66,-44.72,89.2,174.89
00:53.0,2317.72,-213.42,-44.83,89.72,176.57
00:53.0,2318.97,-212.17,-44.91,90.25,178.32
00:53.1,2320.23,-210.92,-44.96,90.85,-35.78
00:53.1,2321.5,-209.65,-44.96,91.47,-177.87
00:53.1,2322.77,-208.38,-44.93,92.11,-176.1
00:53.2,2324.05,-207.1,-44.85,92.79,-174.43
00:53.2,2325.35,-205.81,-44.74,93.52,-172.82
00:53.3,2326.65,-204.52,-44.59,94.32,-171.23
00:53.3,2327.97,-203.22,-44.41,95.17,-169.61
00:53.4,2329.29,-201.91,-44.19,96.07,-167.92
00:53.5,2330.63,-200.59,-43.93,97.03,-166.18
00:53.5,2331.99,-199.28,-43.63,97.97,-164.48
00:53.5,2333.35,-197.95,-43.28,98.9,-162.81
00:53.6,2334.73,-196.63,-42.9,99.81,-161.18
00:53.7,2336.12,-195.3,-42.48,100.76,-159.71
00:53.7,2337.53,-193.97,-42.03,101.72,-158.39
00:53.7,2338.95,-192.64,-41.53,102.8,-157.1
00:53.8,2340.39,-191.31,-41,104.14,-155.78
00:53.9,2341.84,-189.97,-40.43,105.73,-154.56
00:53.9,2343.32,-188.62,-39.82,107.38,-153.44
00:53.9,2344.82,-187.27,-39.18,108.93,-152.24
00:54.0,2346.34,-185.91,-38.5,110.39,-150.8
00:54.1,2347.88,-184.54,-37.79,111.22,-149.34
00:54.1,2349.42,-183.19,-37.05,110.58,-148.46
00:54.2,2350.95,-181.87,-36.29,109.16,-148.06
00:54.2,2352.45,-180.58,-35.51,107.44,-147.94
00:54.3,2353.93,-179.32,-34.74,105.3,-147.83
00:54.3,2355.38,-178.1,-33.97,102.88,-147.43
00:54.3,2356.79,-176.91,-33.21,100.31,-146.76
00:54.4,2358.16,-175.76,-32.46,97.56,-146.03
00:54.5,2359.5,-174.66,-31.72,94.91,-145.27
00:54.5,2360.8,-173.58,-30.98,92.2,-144.76
00:54.5,2362.06,-172.55,-30.26,89.38,-144.66
00:54.6,2363.28,-171.54,-29.56,86.87,-144.69
00:54.6,2364.48,-170.57,-28.88,84.36,-144.83
00:54.7,2365.63,-169.63,-28.22,82,-145.1
00:54.7,2366.75,-168.7,-27.58,79.92,-145.59
00:54.8,2367.85,-167.79,-26.97,78,-146.39
00:54.9,2368.92,-166.89,-26.39,76.12,-147.39
00:54.9,2369.97,-166.01,-25.84,74.15,-148.59
00:55.0,2370.98,-165.13,-25.32,72.19,-150.07
00:55.0,2371.97,-164.27,-24.84,70.3,-151.81
00:55.1,2372.94,-163.41,-24.4,68.57,-153.64
00:55.1,2373.88,-162.56,-24,67.02,-155.55
00:55.1,2374.81,-161.72,-23.63,65.52,-157.5
00:55.2,2375.71,-160.88,-23.31,64.03,-159.41
00:55.3,2376.59,-160.05,-23.01,62.63,-161.4
00:55.3,2377.45,-159.23,-22.76,61.36,-163.54
00:55.3,2378.3,-158.41,-22.55,60.27,-165.77
00:55.4,2379.13,-157.6,-22.37,59.29,-168.15
00:55.5,2379.96,-156.79,-22.23,58.38,-170.57
00:55.5,2380.77,-156,-22.12,57.65,-173.02
00:55.6,2381.57,-155.2,-22.06,57.06,-175.48
00:55.6,2382.36,-154.41,-22.03,56.52,-177.9
00:55.7,2383.15,-153.63,-22.03,55.98,35.65
00:55.7,2383.92,-152.86,-22.07,55.46,177.11
00:55.7,2384.7,-152.1,-22.15,55.01,174.5
00:55.8,2385.46,-151.34,-22.26,54.61,171.92
00:55.8,2386.22,-150.6,-22.4,54.18,169.4
00:55.9,2386.98,-149.87,-22.57,53.68,166.87
00:56.0,2387.73,-149.16,-22.77,53.16,164.25
00:56.0,2388.47,-148.47,-23.01,52.66,161.5
00:56.0,2389.2,-147.79,-23.28,52.2,158.67
00:56.1,2389.93,-147.13,-23.58,51.74,155.81
00:56.1,2390.66,-146.5,-23.91,51.31,152.88
00:56.2,2391.37,-145.88,-24.27,50.96,150.16
00:56.3,2392.08,-145.29,-24.65,50.53,147.83
00:56.3,2392.78,-144.72,-25.05,49.96,145.46
00:56.4,2393.48,-144.18,-25.47,49.41,142.81
00:56.4,2394.17,-143.66,-25.92,49.06,139.95
00:56.5,2394.86,-143.17,-26.39,48.96,137.12
00:56.5,2395.55,-142.7,-26.88,48.91,134.38
00:56.5,2396.24,-142.25,-27.39,49.02,131.69
00:56.6,2396.93,-141.83,-27.93,49.25,129.04
00:56.7,2397.62,-141.43,-28.49,49.58,126.45
00:56.7,2398.32,-141.06,-29.07,49.97,123.85
00:56.8,2399.02,-140.71,-29.67,50.43,121.23
00:56.8,2399.73,-140.39,-30.3,51.01,118.64
00:56.8,2400.45,-140.08,-30.94,51.73,116.14
00:56.9,2401.19,-139.8,-31.61,52.57,113.76
00:57.0,2401.93,-139.54,-32.3,53.5,111.48
00:57.0,2402.68,-139.3,-33.01,54.5,109.24
00:57.1,2403.45,-139.08,-33.74,55.57,107.01
00:57.1,2404.24,-138.89,-34.5,56.68,104.82
00:57.2,2405.03,-138.72,-35.27,57.82,102.69
00:57.2,2405.85,-138.57,-36.07,58.99,100.61
00:57.2,2406.68,-138.44,-36.89,60.2,98.59
00:57.3,2407.53,-138.34,-37.73,61.44,96.64
00:57.3,2408.39,-138.26,-38.59,62.74,94.78
00:57.4,2409.27,-138.21,-39.47,64.12,93.09
00:57.4,2410.17,-138.17,-40.36,65.57,91.54
00:57.5,2411.1,-138.16,-41.29,67.08,90.08
00:57.5,2412.04,-138.17,-42.23,68.57,88.69
00:57.6,2413,-138.19,-43.19,70.07,87.37
00:57.6,2413.99,-138.24,-44.17,71.59,86.15
00:57.7,2414.99,-138.31,-45.17,73.12,85.07
00:57.8,2416.02,-138.4,-46.2,74.69,84.15
00:57.8,2417.07,-138.5,-47.24,76.35,83.36
00:57.9,2418.14,-138.62,-48.31,78.12,82.75
00:57.9,2419.24,-138.76,-49.4,79.98,82.29
00:58.0,2420.36,-138.9,-50.51,81.81,81.95
00:58.0,2421.51,-139.06,-51.65,83.55,81.65
00:58.0,2422.68,-139.22,-52.81,85.18,81.31
00:58.1,2423.87,-139.4,-53.99,86.72,80.9
00:58.1,2425.09,-139.58,-55.19,88.25,80.39
00:58.2,2426.33,-139.77,-56.41,89.82,79.78
00:58.2,2427.58,-139.97,-57.65,91.46,79.1
00:58.3,2428.87,-140.18,-58.92,93.12,78.38
00:58.3,2430.17,-140.41,-60.2,94.76,77.67
00:58.4,2431.5,-140.65,-61.51,96.35,77.05
00:58.5,2432.84,-140.9,-62.83,97.83,76.7
00:58.5,2434.21,-141.18,-64.17,98.94,76.81
00:58.6,2435.59,-141.47,-65.51,98.98,77.15
00:58.6,2436.96,-141.77,-66.85,98.39,77.34
00:58.7,2438.32,-142.07,-68.18,97.62,77.21
00:58.7,2439.67,-142.37,-69.5,96.83,76.66
00:58.7,2441.01,-142.69,-70.8,96.1,75.62
00:58.8,2442.34,-143.04,-72.08,95.47,74.13
00:58.8,2443.66,-143.41,-73.35,95,72.31
00:58.9,2444.98,-143.82,-74.6,94.62,70.44
00:59.0,2446.29,-144.25,-75.84,94.17,68.49
00:59.0,2447.59,-144.72,-77.06,93.67,66.24
00:59.1,2448.89,-145.22,-78.26,93.16,63.96
00:59.1,2450.18,-145.75,-79.43,92.63,61.97
00:59.1,2451.46,-146.32,-80.58,92.1,60.18
00:59.2,2452.73,-146.92,-81.71,91.69,58.3
00:59.2,2454,-147.55,-82.81,91.37,56.35
00:59.3,2455.27,-148.21,-83.89,91.18,54.54
00:59.3,2456.53,-148.9,-84.95,91.14,52.94
00:59.4,2457.8,-149.63,-85.99,91.25,51.5
00:59.5,2459.06,-150.39,-87,91.4,50.27
00:59.5,2460.33,-151.17,-88,91.6,49.06
00:59.5,2461.61,-151.99,-88.98,91.9,47.65
00:59.6,2462.89,-152.84,-89.93,92.27,46.21
00:59.6,2464.17,-153.72,-90.87,92.64,44.87
00:59.7,2465.46,-154.62,-91.79,93.02,43.41
00:59.8,2466.75,-155.56,-92.68,93.41,41.86
00:59.8,2468.05,-156.52,-93.55,93.85,40.27
00:59.9,2469.36,-157.51,-94.4,94.24,38.62
00:59.9,2470.67,-158.53,-95.23,94.59,36.7
01:00.0,2471.99,-159.57,-96.03,95.11,34.68
01:00.0,2473.31,-160.65,-96.81,95.57,32.85
01:00.0,2474.64,-161.75,-97.56,96.03,31.11
01:00.1,2475.97,-162.87,-98.28,96.59,29.25
01:00.2,2477.32,-164.03,-98.97,97.27,27.35
01:00.2,2478.67,-165.21,-99.63,97.99,25.57
01:00.3,2480.04,-166.42,-100.27,98.73,23.82
01:00.3,2481.41,-167.65,-100.87,99.54,22.1
01:00.3,2482.8,-168.92,-101.45,100.49,20.63
01:00.4,2484.2,-170.2,-102,101.53,19.49
01:00.4,2485.62,-171.52,-102.52,102.61,18.61
01:00.5,2487.05,-172.86,-103.02,103.77,17.95
01:00.6,2488.5,-174.23,-103.51,105.03,17.51
01:00.6,2489.97,-175.62,-103.97,106.51,17.17
01:00.7,2491.46,-177.04,-104.42,108.13,16.66
01:00.7,2492.97,-178.48,-104.86,109.75,15.92
01:00.7,2494.51,-179.96,-105.29,111.38,15.08
01:00.8,2496.07,-181.46,-105.71,112.97,14.25
01:00.8,2497.64,-182.98,-106.11,114.47,13.4
01:00.9,2499.25,-184.53,-106.5,116.06,12.66
01:01.0,2500.87,-186.11,-106.87,117.6,12.09
01:01.0,2502.51,-187.71,-107.23,119.1,11.66
01:01.0,2504.18,-189.34,-107.58,120.61,11.33
01:01.1,2505.86,-190.98,-107.92,122.12,11.11
01:01.1,2507.57,-192.65,-108.26,123.56,11.01
01:01.2,2509.3,-194.34,-108.59,124.94,10.96
01:01.3,2511.04,-196.05,-108.93,126.25,10.96
01:01.3,2512.8,-197.78,-109.26,127.44,11
01:01.4,2514.58,-199.52,-109.6,128.79,11.07
01:01.4,2516.38,-201.29,-109.94,130.32,11.21
01:01.4,2518.2,-203.07,-110.29,131.73,11.48
01:01.5,2520.04,-204.87,-110.66,133.05,11.85
01:01.5,2521.89,-206.69,-111.04,134.31,12.35
01:01.6,2523.77,-208.52,-111.43,135.57,12.91
01:01.7,2525.66,-210.36,-111.84,136.8,13.43
01:01.7,2527.57,-212.22,-112.27,138.1,13.91
01:01.8,2529.5,-214.09,-112.72,139.38,14.22
01:01.8,2531.44,-215.98,-113.18,140.62,14.38
01:01.8,2533.4,-217.88,-113.66,141.81,14.5
01:01.9,2535.38,-219.79,-114.15,143.01,14.71
01:01.9,2537.37,-221.72,-114.65,144.17,14.98
01:02.0,2539.38,-223.66,-115.17,145.29,15.34
01:02.1,2541.41,-225.61,-115.69,146.43,15.78
01:02.1,2543.45,-227.58,-116.24,147.54,16.26
01:02.1,2545.5,-229.55,-116.8,148.66,16.85
01:02.2,2547.58,-231.54,-117.38,149.83,17.43
01:02.2,2549.66,-233.54,-117.99,150.93,17.91
01:02.3,2551.77,-235.54,-118.62,152.01,18.47
01:02.4,2553.89,-237.56,-119.27,153.13,19
01:02.4,2556.02,-239.58,-119.95,154.21,19.49
01:02.5,2558.17,-241.61,-120.66,155.27,19.97
01:02.5,2560.33,-243.65,-121.38,156.33,20.45
01:02.5,2562.51,-245.69,-122.13,157.36,20.96
01:02.6,2564.7,-247.74,-122.9,158.38,21.46
01:02.6,2566.91,-249.8,-123.69,159.38,22
01:02.7,2569.13,-251.86,-124.51,160.36,22.64
01:02.8,2571.36,-253.93,-125.35,161.38,23.36
01:02.8,2573.61,-256,-126.22,162.37,23.99
01:02.9,2575.87,-258.08,-127.11,163.31,24.65
01:02.9,2578.15,-260.16,-128.04,164.27,25.4
01:03.0,2580.43,-262.23,-128.99,165.23,26.13
01:03.0,2582.74,-264.31,-129.97,166.19,26.82
01:03.0,2585.05,-266.39,-130.99,167.11,27.44
01:03.1,2587.38,-268.47,-132.04,168.03,28.09
01:03.2,2589.72,-270.55,-133.11,168.96,28.74
01:03.2,2592.07,-272.62,-134.22,169.82,29.36
01:03.2,2594.43,-274.7,-135.35,170.66,30.22
01:03.3,2596.81,-276.77,-136.51,171.59,31.22
01:03.3,2599.2,-278.83,-137.71,172.44,32.08
01:03.4,2601.6,-280.89,-138.94,173.28,32.94
01:03.5,2604.01,-282.94,-140.21,174.13,33.76
01:03.5,2606.43,-284.99,-141.52,174.97,34.52
01:03.6,2608.87,-287.02,-142.85,175.77,35.23
01:03.6,2611.31,-289.05,-144.22,176.59,36.04
01:03.6,2613.77,-291.06,-145.63,177.43,36.78
01:03.7,2616.24,-293.07,-147.06,178.22,37.43
01:03.8,2618.72,-295.07,-148.53,178.95,38.25
01:03.8,2621.21,-297.06,-150.03,179.82,39.26
01:03.8,2623.71,-299.04,-151.56,180.67,39.92
01:03.9,2626.23,-301,-153.13,181.4,40.34
01:04.0,2628.75,-302.96,-154.73,182.18,40.99
01:04.0,2631.29,-304.9,-156.36,183.01,41.73
01:04.0,2633.83,-306.83,-158.02,183.78,42.45
01:04.1,2636.39,-308.75,-159.71,184.54,43.23
01:04.2,2638.96,-310.65,-161.43,185.3,44.07
01:04.2,2641.53,-312.54,-163.19,186.05,44.93
01:04.3,2644.12,-314.41,-164.98,186.79,45.79
01:04.3,2646.72,-316.26,-166.8,187.53,46.63
01:04.3,2649.33,-318.1,-168.66,188.26,47.41
01:04.4,2651.95,-319.92,-170.54,188.96,48.13
01:04.4,2654.58,-321.72,-172.46,189.66,48.94
01:04.5,2657.21,-323.5,-174.41,190.38,49.82
01:04.6,2659.86,-325.26,-176.39,191.09,50.7
01:04.6,2662.52,-326.99,-178.4,191.81,51.49
01:04.7,2665.19,-328.7,-180.45,192.5,52.14
01:04.7,2667.87,-330.4,-182.52,193.19,52.72
01:04.8,2670.55,-332.07,-184.63,193.8,53.38
01:04.8,2673.25,-333.72,-186.76,194.53,54.36
01:04.8,2675.96,-335.35,-188.92,195.27,55.2
01:04.9,2678.67,-336.96,-191.11,195.9,55.84
01:04.9,2681.4,-338.54,-193.33,196.58,56.59
01:05.0,2684.13,-340.1,-195.57,197.27,57.3
01:05.0,2686.87,-341.64,-197.85,197.94,58.01
01:05.1,2689.63,-343.15,-200.15,198.64,58.65
01:05.2,2692.39,-344.63,-202.48,199.33,59.14
01:05.2,2695.16,-346.1,-204.84,199.93,59.61
01:05.3,2697.94,-347.54,-207.21,200.53,60.53
01:05.3,2700.73,-348.96,-209.61,201.31,61.61
01:05.3,2703.53,-350.36,-212.04,201.94,62.25
01:05.4,2706.34,-351.73,-214.5,202.54,62.87
01:05.5,2709.16,-353.07,-216.97,203.23,63.53
01:05.5,2711.98,-354.38,-219.48,203.87,64.09
01:05.5,2714.82,-355.67,-222,204.5,64.72
01:05.6,2717.66,-356.94,-224.55,205.17,65.41
01:05.7,2720.52,-358.18,-227.12,205.82,66.02
01:05.7,2723.38,-359.39,-229.71,206.46,66.54
01:05.7,2726.25,-360.57,-232.33,207.1,67.11
01:05.8,2729.13,-361.74,-234.97,207.76,67.67
01:05.8,2732.02,-362.87,-237.62,208.38,68.22
01:05.9,2734.92,-363.99,-240.3,209.02,68.89
01:06.0,2737.82,-365.08,-242.99,209.65,69.62
01:06.0,2740.74,-366.14,-245.71,210.26,70.39
01:06.0,2743.66,-367.17,-248.44,210.86,71.19
01:06.1,2746.6,-368.17,-251.2,211.45,72.01
01:06.1,2749.54,-369.14,-253.98,212.02,72.8
01:06.2,2752.48,-370.08,-256.77,212.59,73.69
01:06.2,2755.44,-370.98,-259.59,213.17,74.59
01:06.3,2758.4,-371.85,-262.42,213.74,75.38
01:06.4,2761.37,-372.68,-265.28,214.32,75.97
01:06.4,2764.35,-373.47,-268.15,214.88,76.43
01:06.5,2767.34,-374.24,-271.04,215.45,76.97
01:06.5,2770.34,-374.97,-273.94,216.02,77.63
01:06.5,2773.34,-375.67,-276.86,216.6,78.38
01:06.6,2776.35,-376.34,-279.8,217.16,79.17
01:06.7,2779.37,-376.97,-282.75,217.74,79.91
01:06.7,2782.4,-377.57,-285.72,218.24,80.54
01:06.7,2785.43,-378.13,-288.7,218.02,81.1
01:06.8,2788.45,-378.66,-291.67,216.62,81.61
01:06.8,2791.44,-379.16,-294.62,214.55,81.93
01:06.9,2794.4,-379.63,-297.54,212.06,81.96
01:07.0,2797.33,-380.07,-300.44,209.31,81.94
01:07.0,2800.21,-380.49,-303.29,206.5,82.02
01:07.1,2803.06,-380.9,-306.11,203.64,82.34
01:07.1,2805.87,-381.29,-308.89,200.54,82.92
01:07.2,2808.63,-381.67,-311.63,197.26,83.61
01:07.2,2811.35,-382.01,-314.32,193.93,84.26
01:07.2,2814.02,-382.34,-316.97,190.67,84.77
01:07.3,2816.64,-382.64,-319.58,187.54,85.08
01:07.3,2819.23,-382.91,-322.14,184.57,85.2
01:07.4,2821.77,-383.17,-324.67,181.65,85.39
01:07.5,2824.27,-383.41,-327.16,178.55,85.58
01:07.5,2826.73,-383.63,-329.61,175.47,85.74
01:07.5,2829.15,-383.84,-332.02,172.39,86.05
01:07.6,2831.52,-384.02,-334.38,169.36,86.34
01:07.6,2833.85,-384.2,-336.7,166.32,86.77
01:07.7,2836.14,-384.35,-338.99,163.29,87.3
01:07.8,2838.39,-384.49,-341.23,160.33,87.82
01:07.8,2840.59,-384.6,-343.43,157.45,88.36
01:07.8,2842.76,-384.7,-345.59,154.67,88.81
01:07.9,2844.89,-384.77,-347.72,152.14,89.17
01:07.9,2846.99,-384.83,-349.82,149.81,89.76
01:08.0,2849.05,-384.87,-351.88,147.48,90.41
01:08.0,2851.08,-384.88,-353.91,145.39,91
01:08.1,2853.09,-384.88,-355.91,143.33,91.72
01:08.2,2855.07,-384.85,-357.89,141.2,92.41
01:08.2,2857.01,-384.79,-359.83,139.17,92.89
01:08.3,2858.93,-384.71,-361.75,137.23,93.36
01:08.3,2860.82,-384.61,-363.64,135.41,94.02
01:08.3,2862.69,-384.48,-365.5,133.84,94.85
01:08.4,2864.54,-384.34,-367.34,132.53,95.77
01:08.5,2866.37,-384.16,-369.17,131.22,96.78
01:08.5,2868.19,-383.97,-370.97,129.84,98.06
01:08.5,2869.98,-383.74,-372.74,128.42,99.54
01:08.6,2871.75,-383.48,-374.5,127.02,100.96
01:08.7,2873.51,-383.19,-376.22,125.73,102.22
01:08.7,2875.24,-382.86,-377.93,124.47,103.41
01:08.7,2876.96,-382.5,-379.61,123.36,104.72
01:08.8,2878.67,-382.11,-381.27,122.52,106.12
01:08.8,2880.36,-381.68,-382.91,121.83,107.36
01:08.9,2882.05,-381.22,-384.53,121.17,108.62
01:09.0,2883.73,-380.72,-386.13,120.59,109.95
01:09.0,2885.4,-380.19,-387.71,120.06,111.21
01:09.0,2887.06,-379.62,-389.27,119.55,112.53
01:09.1,2888.72,-379.02,-390.81,119.1,113.91
01:09.1,2890.37,-378.39,-392.34,118.65,115.29
01:09.2,2892.01,-377.72,-393.84,118.15,116.7
01:09.3,2893.65,-377.02,-395.32,117.59,118.25
01:09.3,2895.27,-376.3,-396.77,117.02,119.8
01:09.3,2896.89,-375.54,-398.2,116.37,121.22
01:09.4,2898.5,-374.75,-399.6,115.64,122.66
01:09.4,2900.1,-373.94,-400.98,114.86,124.21
01:09.5,2901.69,-373.09,-402.32,114.07,125.87
01:09.6,2903.26,-372.23,-403.64,113.23,127.49
01:09.6,2904.83,-371.33,-404.92,112.3,128.9
01:09.7,2906.38,-370.41,-406.16,111.28,130.17
01:09.7,2907.92,-369.46,-407.37,110.2,131.42
01:09.8,2909.44,-368.5,-408.55,109.12,132.61
01:09.8,2910.94,-367.51,-409.69,108.04,133.7
01:09.9,2912.44,-366.51,-410.79,106.84,134.83
01:09.9,2913.91,-365.49,-411.85,105.55,136.26
01:10.0,2915.37,-364.46,-412.87,104.26,137.81
01:10.0,2916.81,-363.41,-413.85,102.93,139.31
01:10.0,2918.23,-362.34,-414.78,101.76,140.98
01:10.1,2919.64,-361.25,-415.67,100.69,142.58
01:10.2,2921.03,-360.15,-416.52,99.52,144.25
01:10.2,2922.4,-359.04,-417.33,98.41,146.04
01:10.2,2923.76,-357.92,-418.09,97.35,147.84
01:10.3,2925.11,-356.78,-418.81,96.41,149.82
01:10.4,2926.44,-355.64,-419.49,95.48,151.75
01:10.4,2927.76,-354.49,-420.13,94.41,153.52
01:10.5,2929.06,-353.33,-420.73,93.31,155.38
01:10.5,2930.35,-352.16,-421.28,92.27,157.31
01:10.5,2931.63,-350.99,-421.77,91.36,159.15
01:10.6,2932.89,-349.81,-422.22,90.54,160.97
01:10.7,2934.15,-348.62,-422.62,89.88,162.8
01:10.7,2935.39,-347.43,-422.98,89.34,164.66
01:10.7,2936.63,-346.24,-423.3,89.01,166.63
01:10.8,2937.87,-345.04,-423.58,88.84,168.66
01:10.8,2939.1,-343.83,-423.82,88.81,170.55
01:10.9,2940.34,-342.61,-424.02,88.89,172.29
01:11.0,2941.57,-341.38,-424.18,89.09,174.11
01:11.0,2942.82,-340.15,-424.3,89.46,176.06
01:11.1,2944.06,-338.91,-424.38,89.97,177.91
01:11.1,2945.32,-337.65,-424.43,90.6,107.57
01:11.2,2946.58,-336.39,-424.44,91.31,-178.76
01:11.2,2947.85,-335.12,-424.41,92.14,-176.88
01:11.2,2949.14,-333.83,-424.34,93.02,-174.82
01:11.3,2950.44,-332.54,-424.23,93.92,-172.67
01:11.3,2951.75,-331.24,-424.09,94.88,-170.7
01:11.4,2953.07,-329.93,-423.9,95.89,-169.22
01:11.5,2954.41,-328.61,-423.67,96.97,-168.19
01:11.5,2955.77,-327.28,-423.4,98.13,-167.18
01:11.5,2957.14,-325.94,-423.1,99.36,-166.02
01:11.6,2958.53,-324.59,-422.78,100.62,-164.7
01:11.7,2959.93,-323.24,-422.41,101.86,-163.13
01:11.7,2961.36,-321.87,-422.02,103.22,-161.47
01:11.8,2962.8,-320.49,-421.58,104.62,-160.02
01:11.8,2964.26,-319.11,-421.11,106.03,-158.7
01:11.8,2965.74,-317.72,-420.6,107.51,-157.51
01:11.9,2967.25,-316.31,-420.06,109.08,-156.45
01:11.9,2968.77,-314.9,-419.48,110.71,-155.49
01:12.0,2970.32,-313.48,-418.86,112.36,-154.8
01:12.0,2971.89,-312.05,-418.22,114.01,-154.33
01:12.1,2973.49,-310.6,-417.55,115.69,-153.93
01:12.2,2975.11,-309.14,-416.85,117.25,-153.4
01:12.2,2976.75,-307.67,-416.12,118.9,-152.66
01:12.3,2978.41,-306.19,-415.36,120.49,-151.86
01:12.3,2980.09,-304.7,-414.58,121.98,-150.98
01:12.3,2981.8,-303.2,-413.77,123.51,-150.12
01:12.4,2983.52,-301.7,-412.93,125.01,-149.38
01:12.5,2985.27,-300.18,-412.06,126.53,-148.7
01:12.5,2987.04,-298.66,-411.15,128,-148.09
01:12.5,2988.82,-297.14,-410.22,129.45,-147.49
01:12.6,2990.63,-295.61,-409.26,130.78,-146.79
01:12.6,2992.45,-294.07,-408.28,132.11,-145.86
01:12.7,2994.3,-292.53,-407.26,133.48,-144.76
01:12.8,2996.16,-290.99,-406.22,134.9,-143.65
01:12.8,2998.04,-289.45,-405.13,136.23,-142.68
01:12.8,2999.94,-287.92,-404.01,137.53,-141.79
01:12.9,3001.86,-286.39,-402.85,138.8,-140.91
01:12.9,3003.8,-284.87,-401.65,140.06,-139.98
01:13.0,3005.75,-283.35,-400.42,141.38,-139.1
01:13.0,3007.72,-281.84,-399.16,142.58,-138.32
01:13.1,3009.71,-280.33,-397.86,143.81,-137.36
01:13.2,3011.72,-278.83,-396.52,145.1,-136.43
01:13.2,3013.74,-277.34,-395.15,146.31,-135.82
01:13.3,3015.78,-275.86,-393.75,147.44,-135.15
01:13.3,3017.84,-274.39,-392.32,148.6,-134.15
01:13.3,3019.91,-272.92,-390.85,149.82,-133.17
01:13.4,3022,-271.47,-389.35,150.99,-132.34
01:13.5,3024.1,-270.02,-387.82,152.17,-131.66
01:13.5,3026.22,-268.59,-386.26,153.31,-131.1
01:13.5,3028.36,-267.17,-384.66,154.46,-130.61
01:13.6,3030.51,-265.75,-383.04,155.6,-130.26
01:13.7,3032.68,-264.33,-381.4,156.7,-130.01
01:13.7,3034.87,-262.92,-379.74,157.81,-129.86
01:13.7,3037.07,-261.49,-378.06,158.95,-129.92
01:13.8,3039.28,-260.06,-376.37,160.07,-130.32
01:13.9,3041.51,-258.61,-374.68,161.14,-131.04
01:13.9,3043.76,-257.13,-372.98,162.19,-132.01
01:14.0,3046.02,-255.63,-371.3,163.21,-133.06
01:14.0,3048.29,-254.1,-369.62,164.21,-134.11
01:14.1,3050.58,-252.53,-367.95,165.15,-135.19
01:14.1,3052.88,-250.93,-366.3,166.12,-136.36
01:14.2,3055.19,-249.29,-364.66,167.04,-137.47
01:14.2,3057.51,-247.62,-363.05,167.83,-138.6
01:14.2,3059.84,-245.92,-361.46,167.49,-139.37
01:14.3,3062.16,-244.2,-359.9,166.07,-139.57
01:14.3,3064.45,-242.48,-358.38,164.05,-139.59
01:14.4,3066.71,-240.78,-356.89,161.6,-139.57
01:14.5,3068.94,-239.1,-355.44,158.85,-139.59
01:14.5,3071.12,-237.44,-354.01,155.89,-139.82
01:14.6,3073.27,-235.81,-352.62,152.84,-140.23
01:14.6,3075.37,-234.2,-351.27,149.72,-140.68
01:14.7,3077.43,-232.62,-349.95,146.59,-141.18
01:14.7,3079.44,-231.06,-348.67,143.51,-141.62
01:14.7,3081.41,-229.53,-347.43,140.66,-141.92
