,sLapDistance,xCarX,xCarY,aYaw,vCar
00:09.2,405.48,619.29,564.24,-17.12,95.97
00:09.3,406.82,618.01,564.65,-16.01,97.34
00:09.3,408.18,616.71,565.05,-15.11,98.55
00:09.3,409.56,615.38,565.42,-14.11,99.84
00:09.4,410.95,614.03,565.78,-13.04,101.24
00:09.5,412.37,612.66,566.12,-12.14,102.66
00:09.5,413.8,611.26,566.44,-11.45,103.99
00:09.6,415.25,609.84,566.75,-10.76,105.29
00:09.6,416.73,608.4,567.04,-10.06,106.8
00:09.7,418.22,606.93,567.31,-9.37,108.29
00:09.7,419.74,605.44,567.57,-8.72,109.62
00:09.8,421.27,603.92,567.81,-7.98,110.93
00:09.8,422.82,602.39,568.03,-7.13,112.28
00:09.8,424.39,600.84,568.23,-6.25,113.68
00:09.9,425.97,599.26,568.42,-5.4,115.1
00:10.0,427.58,597.66,568.59,-4.7,116.49
00:10.0,429.21,596.04,568.74,-4.06,117.8
00:10.1,430.85,594.4,568.87,-3.31,119.16
00:10.1,432.52,592.74,568.98,-2.61,120.63
00:10.2,434.2,591.05,569.07,-2.08,122.08
00:10.2,435.91,589.35,569.14,-1.63,123.49
00:10.2,437.63,587.63,569.2,-1.2,124.93
00:10.3,439.38,585.88,569.25,-0.69,126.48
00:10.4,441.15,584.11,569.28,-0.05,127.91
00:10.4,442.93,582.33,569.3,0.64,129.34
00:10.5,444.74,580.52,569.29,1.08,130.76
00:10.5,446.56,578.7,569.27,1.3,132.12
00:10.6,448.41,576.85,569.24,1.45,133.5
00:10.6,450.27,574.99,569.21,1.56,134.96
00:10.7,452.16,573.1,569.16,1.66,136.32
00:10.7,454.06,571.2,569.11,1.77,137.66
00:10.7,455.98,569.28,569.05,1.87,138.97
00:10.8,457.92,567.34,568.99,1.99,140.27
00:10.9,459.88,565.39,568.93,2.14,141.56
00:10.9,461.85,563.41,568.85,2.29,142.75
00:11.0,463.83,561.43,568.78,2.41,142.52
00:11.0,465.8,559.46,568.7,2.51,141.18
00:11.1,467.75,557.52,568.61,2.67,139.14
00:11.1,469.66,555.6,568.52,2.88,136.78
00:11.2,471.55,553.72,568.43,3.21,134.38
00:11.2,473.4,551.88,568.32,3.66,131.92
00:11.3,475.21,550.06,568.2,4.55,129.66
00:11.3,477,548.28,568.07,5.54,127.44
00:11.4,478.76,546.54,567.9,6.52,125.49
