,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:11.4,553.73,407.67,-222.93,67.39,157.76,,,
00:11.4,555.92,406.87,-224.96,66.47,157.2,,,
00:11.5,558.1,406.04,-226.98,65.7,156.67,,,
00:11.5,560.27,405.18,-228.97,64.95,156.16,,,
00:11.6,562.43,404.29,-230.95,64.18,155.65,,,
00:11.6,564.59,403.38,-232.9,63.48,155.17,,,
00:11.6,566.74,402.44,-234.84,62.88,154.68,,,
00:11.7,568.89,401.49,-236.76,62.14,154.21,,,
00:11.7,571.03,400.51,-238.66,61.2,153.67,,,
00:11.8,573.16,399.52,-240.55,60.29,153.12,,,
00:11.8,575.28,398.49,-242.41,59.7,152.53,,,
00:11.9,577.39,397.45,-244.25,59.08,151.81,,,
00:11.9,579.49,396.39,-246.06,58.18,150.85,,,
00:12.0,581.58,395.32,-247.85,57.23,149.63,,,
00:12.0,583.65,394.23,-249.61,56.53,148.26,,,
00:12.1,585.7,393.13,-251.34,56.01,146.78,,,
00:12.2,587.73,392.02,-253.03,55.52,145.2,,,
00:12.2,589.73,390.9,-254.7,55.1,143.58,,,
00:12.3,591.71,389.78,-256.33,54.7,141.95,,,
00:12.3,593.67,388.65,-257.94,54.21,140.23,,,
00:12.4,595.61,387.53,-259.51,53.65,138.41,,,
00:12.4,597.52,386.4,-261.06,53.09,136.53,,,
00:12.4,599.4,385.28,-262.57,52.51,134.59,,,
00:12.5,601.25,384.16,-264.05,51.94,132.65,,,
00:12.6,603.08,383.05,-265.5,51.47,130.61,,,
00:12.6,604.88,381.94,-266.92,51.12,128.48,,,
00:12.7,606.65,380.84,-268.31,50.98,126.26,,,
00:12.7,608.39,379.76,-269.66,51.05,124.02,,,
00:12.8,610.1,378.69,-270.99,51.2,121.81,,,
00:12.8,611.77,377.64,-272.3,51.43,119.71,,,
00:12.9,613.42,376.61,-273.59,51.81,117.66,,,
00:12.9,615.04,375.61,-274.87,52.31,115.51,,,
00:12.9,616.63,374.64,-276.12,52.94,113.52,,,
00:13.0,618.2,373.7,-277.37,53.76,111.54,,,
00:13.1,619.73,372.79,-278.61,54.58,109.67,,,
00:13.1,621.24,371.91,-279.84,55.45,107.86,,,
00:13.1,622.73,371.07,-281.06,56.48,106.19,,,
00:13.2,624.19,370.26,-282.28,57.69,104.75,,,
00:13.2,625.64,369.48,-283.5,58.94,103.47,,,
00:13.3,627.07,368.73,-284.72,60.13,102.19,,,
00:13.3,628.48,368.02,-285.94,61.36,100.88,,,
00:13.4,629.87,367.35,-287.15,62.72,99.65,,,
00:13.4,631.24,366.71,-288.37,64.17,98.45,,,
00:13.5,632.6,366.1,-289.59,65.66,97.34,,,
00:13.6,633.95,365.54,-290.81,67.16,96.37,,,
00:13.6,635.28,365,-292.03,68.67,95.42,,,
00:13.6,636.6,364.51,-293.25,70.09,94.41,,,
00:13.7,637.9,364.05,-294.47,71.46,93.37,,,
00:13.8,639.19,363.63,-295.69,72.96,92.34,,,
00:13.8,640.47,363.25,-296.91,74.66,91.35,,,
00:13.9,641.73,362.9,-298.12,76.35,90.46,,,
00:13.9,642.98,362.59,-299.33,77.8,89.63,,,
00:14.0,644.22,362.31,-300.54,79.21,88.93,,,
00:14.0,645.45,362.07,-301.75,80.8,88.29,,,
00:14.1,646.67,361.86,-302.95,82.39,87.7,,,
00:14.1,647.88,361.69,-304.15,83.85,87.06,,,
00:14.2,649.08,361.55,-305.35,85.41,86.29,,,
00:14.2,650.28,361.45,-306.54,87.29,85.6,,,
00:14.3,651.46,361.38,-307.72,89.18,84.86,,,
00:14.3,652.63,361.35,-308.89,90.79,84.13,,,
00:14.3,653.8,361.35,-310.06,92.27,83.37,,,
00:14.4,654.95,361.39,-311.21,94.02,82.71,,,
00:14.5,656.1,361.46,-312.35,95.71,82.33,,,
00:14.5,657.24,361.57,-313.49,97.07,81.91,,,
00:14.6,658.37,361.71,-314.61,98.52,81.48,,,
00:14.6,659.5,361.88,-315.73,100.43,81.03,,,
00:14.6,660.62,362.08,-316.83,102.38,80.63,,,
00:14.7,661.74,362.32,-317.92,104.11,80.22,,,
00:14.7,662.85,362.59,-319,105.82,79.79,,,
00:14.8,663.96,362.9,-320.06,107.77,79.34,,,
00:14.8,665.06,363.24,-321.11,109.95,78.94,,,
00:14.9,666.15,363.62,-322.14,112.04,78.73,,,
00:14.9,667.25,364.03,-323.15,114.03,78.77,,,
00:15.0,668.35,364.48,-324.15,115.95,79.01,,,
00:15.0,669.44,364.96,-325.13,117.52,79.5,,,
