,sLapDistance,xCarX,xCarY,aYaw,vCar
00:16.3,703.56,-274.88,60.63,-93.87,50.428
00:16.3,704.26,-274.8,61.31,-96.6,50.086
00:16.3,704.96,-274.71,61.85,-98.61,49.833
00:16.4,705.64,-274.51,62.78,-102.07,49.305
00:16.5,706.33,-274.4,63.17,-103.71,49.085
00:16.5,707.01,-274.15,63.94,-107.1,48.82
00:16.6,707.68,-273.91,64.56,-109.86,47.968
00:16.6,708.36,-273.7,65.05,-112.01,47.834
00:16.6,709.04,-273.28,65.9,-115.89,47.831
00:16.7,709.73,-273.08,66.26,-117.55,48.85
00:16.7,710.44,-272.65,66.98,-120.74,49.854
00:16.8,711.16,-272.25,67.57,-123.45,51.014
00:16.9,711.89,-271.91,68.04,-125.62,51.903
00:16.9,712.63,-271.26,68.84,-129.51,52.951
00:16.9,713.38,-270.96,69.17,-131.26,53.721
00:17.0,714.15,-270.33,69.83,-134.7,54.536
00:17.0,714.92,-269.77,70.35,-137.43,55.451
00:17.1,715.71,-269.29,70.76,-139.43,56.538
00:17.1,716.51,-268.42,71.46,-142.52,57.545
00:17.2,717.33,-268.02,71.75,-143.78,58.909
00:17.3,718.16,-267.19,72.31,-146.46,60.111
00:17.3,719.02,-266.47,72.77,-148.45,61.616
00:17.4,719.88,-265.88,73.12,-149.76,62.998
00:17.4,720.77,-264.79,73.74,-151.79,64.393
00:17.5,721.68,-264.3,73.99,-152.78,65.876
00:17.5,722.61,-263.3,74.48,-154.81,67.393
00:17.6,723.56,-262.44,74.88,-156.52,68.641
00:17.6,724.53,-261.72,75.19,-157.84,70.57
00:17.6,725.52,-260.43,75.7,-159.96,71.839
00:17.7,726.54,-259.85,75.91,-160.83,73.481
00:17.7,727.57,-258.68,76.31,-162.43,74.992
00:17.8,728.63,-257.67,76.64,-163.74,76.78
00:17.8,729.71,-256.84,76.88,-164.75,78.373
00:17.9,730.81,-255.35,77.29,-166.47,79.863
00:17.9,731.93,-254.69,77.46,-167.14,81.358
00:18.0,733.06,-253.36,77.78,-168.5,82.506
00:18.0,734.22,-252.23,78.02,-169.54,84.556
00:18.1,735.4,-251.3,78.21,-170.32,86.07
00:18.1,736.6,-249.64,78.51,-171.45,87.278
00:18.2,737.82,-248.92,78.64,-171.89,89.1
00:18.3,739.07,-247.43,78.86,-172.77,90.974
00:18.3,740.34,-246.17,79.03,-173.49,92.619
00:18.4,741.64,-245.14,79.16,-174.08,94.56
00:18.4,742.96,-243.29,79.37,-175.28,96.3
