,sLapDistance,xCarX,xCarY,aYaw,vCar
00:10.4,435.19,-338.25,-14.03,-127.19,113.7
00:10.4,436.77,-337.3,-12.77,-128.19,113.51
00:10.5,438.34,-336.33,-11.53,-129.37,113.31
00:10.5,439.91,-335.34,-10.31,-130.88,113.1
00:10.6,441.48,-334.32,-9.11,-132.59,112.9
00:10.6,443.05,-333.28,-7.95,-134.05,112.68
00:10.7,444.61,-332.2,-6.81,-135.28,112.44
00:10.7,446.17,-331.11,-5.7,-136.57,112.14
00:10.7,447.73,-329.99,-4.62,-137.88,111.66
00:10.8,449.28,-328.85,-3.58,-138.98,110.99
00:10.9,450.81,-327.69,-2.57,-139.98,110.14
00:10.9,452.33,-326.52,-1.59,-141.18,109.11
00:11.0,453.84,-325.35,-0.64,-142.51,107.93
00:11.0,455.33,-324.17,0.27,-143.89,106.67
00:11.1,456.8,-322.99,1.14,-145.29,105.39
00:11.1,458.26,-321.8,1.98,-146.71,104.13
00:11.2,459.69,-320.6,2.78,-148.12,102.92
00:11.2,461.12,-319.4,3.54,-149.5,101.85
00:11.3,462.52,-318.19,4.26,-150.82,100.9
00:11.3,463.92,-316.97,4.95,-152.1,100.02
00:11.4,465.3,-315.75,5.59,-153.42,99.23
00:11.4,466.68,-314.52,6.21,-154.81,98.47
00:11.5,468.04,-313.29,6.79,-156.22,97.8
00:11.5,469.4,-312.05,7.33,-157.63,97.24
00:11.6,470.74,-310.8,7.84,-159.03,96.76
00:11.6,472.08,-309.55,8.31,-160.4,96.3
00:11.6,473.42,-308.29,8.76,-161.78,95.83
00:11.7,474.75,-307.03,9.17,-163.17,95.36
00:11.7,476.07,-305.76,9.55,-164.55,94.86
00:11.8,477.38,-304.49,9.89,-165.91,94.32
00:11.8,478.69,-303.23,10.2,-167.23,93.77
00:11.9,479.99,-301.96,10.49,-168.55,93.2
00:11.9,481.28,-300.69,10.74,-169.96,92.58
00:12.0,482.56,-299.43,10.95,-171.48,91.9
00:12.0,483.83,-298.17,11.14,-173.01,91.17
00:12.1,485.09,-296.92,11.29,-174.47,90.41
00:12.2,486.34,-295.68,11.4,-175.98,89.6
00:12.2,487.58,-294.44,11.48,-177.64,88.78
00:12.3,488.81,-293.21,11.52,-107.39,87.94
00:12.3,490.02,-292,11.53,178.83,87.09
00:12.4,491.23,-290.79,11.5,177.03,86.24
00:12.4,492.42,-289.6,11.44,175.21,85.47
00:12.4,493.61,-288.43,11.34,173.46,84.81
00:12.5,494.78,-287.26,11.2,171.74,84.26
00:12.6,495.95,-286.11,11.02,169.91,83.77
00:12.6,497.11,-284.96,10.82,168.03,83.31
00:12.7,498.26,-283.84,10.57,166.22,82.88
00:12.7,499.41,-282.72,10.29,164.56,82.45
00:12.8,500.55,-281.62,9.98,162.91,82.04
00:12.8,501.69,-280.54,9.64,161.18,81.63
00:12.9,502.82,-279.47,9.26,159.3,81.23
00:12.9,503.95,-278.42,8.86,157.34,80.81
00:12.9,505.07,-277.39,8.43,155.41,80.38
00:13.0,506.18,-276.38,7.96,153.61,79.96
00:13.1,507.29,-275.39,7.46,151.88,79.54
00:13.1,508.39,-274.42,6.93,150.12,79.14
00:13.1,509.49,-273.48,6.38,148.32,78.75
00:13.2,510.58,-272.56,5.79,146.47,78.34
00:13.2,511.67,-271.66,5.18,144.55,77.92
00:13.3,512.75,-270.79,4.55,142.53,77.48
00:13.3,513.82,-269.95,3.88,140.48,77.05
00:13.4,514.89,-269.14,3.19,138.45,76.62
00:13.4,515.96,-268.35,2.47,136.47,76.19
00:13.5,517.01,-267.6,1.73,134.43,75.74
00:13.6,518.06,-266.88,0.97,132.24,75.32
00:13.6,519.11,-266.19,0.19,130.01,74.88
00:13.6,520.15,-265.54,-0.62,127.84,74.43
00:13.7,521.18,-264.92,-1.44,125.73,73.97
00:13.8,522.21,-264.33,-2.28,123.59,73.53
00:13.8,523.23,-263.78,-3.14,121.41,73.33
