,sLapDistance,xCarX,xCarY,aYaw,vCar
00:09.0,428.19,-293.37,-265.56,89.71,112.44
00:09.0,429.76,-293.4,-267.12,91.18,112.84
00:09.1,431.33,-293.41,-268.69,92.66,113.41
00:09.2,432.91,-293.37,-270.27,94.02,114.09
00:09.2,434.5,-293.29,-271.86,95.25,114.76
00:09.3,436.09,-293.17,-273.45,96.48,115.44
00:09.3,437.7,-293.02,-275.05,97.78,116.05
00:09.3,439.31,-292.82,-276.66,99.23,116.61
00:09.4,440.94,-292.59,-278.27,100.64,117.24
00:09.5,442.57,-292.32,-279.88,101.85,117.78
00:09.5,444.21,-292.01,-281.49,103.25,118.29
00:09.6,445.85,-291.66,-283.09,104.94,118.81
00:09.6,447.51,-291.27,-284.7,106.39,119.4
00:09.7,449.17,-290.84,-286.31,107.3,119.99
00:09.7,450.84,-290.38,-287.91,108.11,120.5
00:09.8,452.51,-289.89,-289.51,109.31,120.77
00:09.8,454.19,-289.37,-291.11,111.13,121.08
00:09.8,455.88,-288.82,-292.71,112.88,121.74
00:09.9,457.57,-288.23,-294.29,114.25,122.21
00:10.0,459.27,-287.59,-295.87,115.31,122.84
00:10.0,460.98,-286.91,-297.44,116.28,123.45
00:10.1,462.69,-286.2,-299,117.34,124.2
00:10.1,464.42,-285.45,-300.56,118.5,124.99
00:10.2,466.16,-284.66,-302.12,119.83,125.87
00:10.2,467.92,-283.84,-303.67,121.07,126.89
00:10.2,469.69,-282.97,-305.21,122.02,128.02
00:10.3,471.47,-282.07,-306.75,122.88,129.18
00:10.4,473.27,-281.14,-308.29,123.9,130.29
00:10.4,475.09,-280.17,-309.83,125.11,131.36
00:10.5,476.92,-279.16,-311.36,126.55,132.31
00:10.5,478.76,-278.13,-312.89,128.28,133.21
00:10.6,480.61,-277.05,-314.4,130.18,134.13
00:10.6,482.48,-275.94,-315.91,131.89,135.08
00:10.7,484.36,-274.8,-317.4,133.35,135.88
00:10.7,486.25,-273.62,-318.88,134.84,136.58
00:10.7,488.14,-272.41,-320.35,136.37,137.32
00:10.8,490.05,-271.17,-321.8,137.58,137.98
