,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:07.2,304.76,-149.88,-11.97,-168.59,146.22,,,
00:07.3,306.8,-147.88,-11.57,-168.3,147.48,,,
00:07.3,308.85,-145.87,-11.16,-168.06,148.57,,,
00:07.3,310.92,-143.85,-10.74,-167.89,149.5,,,
00:07.4,313.01,-141.82,-10.3,-167.7,150.4,,,
00:07.5,315.1,-139.78,-9.86,-167.49,151.35,,,
00:07.5,317.21,-137.73,-9.41,-167.29,152.21,,,
00:07.5,319.33,-135.67,-8.95,-167.03,153.01,,,
00:07.6,321.46,-133.6,-8.48,-166.71,154.1,,,
00:07.6,323.61,-131.51,-8,-166.53,155.06,,,
00:07.7,325.77,-129.42,-7.51,-166.45,155.89,,,
00:07.8,327.94,-127.32,-7.01,-166.37,156.69,,,
00:07.8,330.12,-125.2,-6.5,-166.25,157.51,,,
00:07.8,332.32,-123.08,-5.98,-166.12,158.42,,,
00:07.9,334.52,-120.94,-5.46,-166,159.36,,,
00:08.0,336.74,-118.8,-4.93,-165.9,160.22,,,
00:08.0,338.97,-116.64,-4.39,-165.8,161.05,,,
00:08.1,341.21,-114.47,-3.85,-165.71,161.9,,,
00:08.1,343.47,-112.29,-3.3,-165.64,162.73,,,
00:08.1,345.73,-110.11,-2.74,-165.58,163.53,,,
00:08.2,348.01,-107.91,-2.18,-165.51,164.34,,,
00:08.3,350.3,-105.7,-1.61,-165.44,165.17,,,
00:08.3,352.6,-103.48,-1.04,-165.37,165.99,,,
00:08.3,354.91,-101.25,-0.46,-165.34,166.79,,,
00:08.4,357.23,-99.02,0.12,-165.31,167.56,,,
00:08.4,359.57,-96.77,0.71,-165.3,168.32,,,
00:08.5,361.91,-94.51,1.3,-165.28,169.09,,,
00:08.6,364.26,-92.24,1.89,-165.27,169.84,,,
00:08.6,366.63,-89.96,2.49,-165.25,170.62,,,
00:08.7,369,-87.68,3.09,-165.24,171.39,,,
00:08.7,371.39,-85.38,3.7,-165.23,172.12,,,
00:08.8,373.78,-83.07,4.3,-165.23,172.85,,,
00:08.8,376.19,-80.75,4.91,-165.22,173.59,,,
00:08.8,378.6,-78.43,5.53,-165.22,174.29,,,
00:08.9,381.03,-76.09,6.14,-165.21,174.86,,,
00:08.9,383.46,-73.75,6.76,-165.2,175.71,,,
00:09.0,385.91,-71.39,7.38,-165.21,176.46,,,
00:09.0,388.36,-69.03,8,-165.21,177.08,,,
00:09.1,390.83,-66.65,8.63,-165.22,177.75,,,
00:09.2,393.3,-64.27,9.26,-165.24,178.49,,,
00:09.2,395.79,-61.88,9.89,-165.25,179.16,,,
00:09.3,398.28,-59.48,10.52,-165.26,179.83,,,
00:09.3,400.78,-57.07,11.15,-165.28,180.51,,,
00:09.3,403.29,-54.65,11.79,-165.3,181.18,,,
00:09.4,405.81,-52.22,12.42,-165.31,181.83,,,
00:09.5,408.34,-49.78,13.06,-165.33,182.47,,,
00:09.5,410.88,-47.34,13.7,-165.34,183.12,,,
00:09.6,413.43,-44.88,14.34,-165.36,183.77,,,
00:09.6,415.99,-42.42,14.99,-165.37,184.4,,,
00:09.7,418.55,-39.95,15.63,-165.39,185.01,,,
00:09.7,421.13,-37.47,16.28,-165.4,185.64,,,
00:09.8,423.71,-34.98,16.93,-165.42,186.25,,,
00:09.8,426.3,-32.48,17.58,-165.43,186.82,,,
00:09.8,428.9,-29.98,18.23,-165.45,187.45,,,
00:09.9,431.51,-27.47,18.88,-165.45,188.03,,,
00:10.0,434.12,-24.95,19.53,-165.42,188.62,,,
00:10.0,436.75,-22.42,20.19,-165.35,189.19,,,
00:10.1,439.38,-19.88,20.85,-165.24,189.82,,,
00:10.1,442.02,-17.34,21.52,-165.11,190.39,,,
00:10.2,444.67,-14.79,22.19,-164.96,190.95,,,
00:10.2,447.32,-12.24,22.88,-164.78,191.54,,,
00:10.2,449.99,-9.68,23.57,-164.56,192.07,,,
00:10.3,452.66,-7.11,24.27,-164.25,192.63,,,
00:10.4,455.34,-4.54,24.98,-163.88,193.2,,,
00:10.4,458.02,-1.96,25.71,-163.5,193.75,,,
00:10.5,460.72,0.61,26.46,-163.12,194.3,,,
00:10.5,463.42,3.19,27.22,-162.76,194.82,,,
