,sLapDistance,xCarX,xCarY,aYaw,vCar
00:10.2,594.75,-258.86,-406.74,-41.3,149.53
00:10.2,596.82,-260.45,-405.42,-42.34,148.39
00:10.2,598.87,-262,-404.08,-43.47,147.33
00:10.3,600.91,-263.52,-402.72,-44.67,146.27
00:10.4,602.93,-265.01,-401.35,-46.05,145.21
00:10.4,604.94,-266.45,-399.96,-47.49,144.25
00:10.5,606.94,-267.86,-398.54,-48.89,143.44
00:10.5,608.92,-269.23,-397.1,-50.32,142.71
00:10.6,610.9,-270.56,-395.64,-51.69,142
00:10.6,612.87,-271.84,-394.15,-52.86,141.3
00:10.7,614.82,-273.09,-392.64,-53.85,140.62
00:10.7,616.77,-274.29,-391.11,-54.75,139.96
00:10.7,618.71,-275.47,-389.57,-55.65,139.33
00:10.8,620.64,-276.6,-388.01,-56.55,138.7
00:10.9,622.56,-277.71,-386.44,-57.67,138.05
00:10.9,624.47,-278.78,-384.85,-58.98,137.38
00:11.0,626.37,-279.8,-383.25,-60.21,136.73
00:11.0,628.27,-280.79,-381.63,-61.36,136.09
00:11.1,630.15,-281.73,-380,-62.6,135.47
00:11.1,632.03,-282.64,-378.35,-63.92,134.87
00:11.2,633.89,-283.5,-376.7,-65.19,134.27
00:11.2,635.75,-284.33,-375.03,-66.43,133.65
00:11.3,637.6,-285.12,-373.36,-67.75,133
00:11.3,639.45,-285.86,-371.68,-69.18,132.34
00:11.4,641.28,-286.57,-369.98,-70.52,131.68
00:11.4,643.1,-287.22,-368.28,-71.71,131.04
00:11.5,644.92,-287.84,-366.58,-72.86,130.42
00:11.5,646.72,-288.42,-364.86,-74.06,129.81
00:11.6,648.52,-288.96,-363.15,-75.26,129.2
00:11.6,650.31,-289.46,-361.43,-76.51,128.59
00:11.6,652.09,-289.92,-359.71,-77.88,127.94
00:11.7,653.86,-290.34,-357.99,-79.29,127.29
00:11.7,655.62,-290.71,-356.27,-80.63,126.63
00:11.8,657.38,-291.04,-354.55,-81.87,126
00:11.8,659.12,-291.33,-352.83,-83.09,125.38
00:11.9,660.86,-291.58,-351.11,-84.34,124.78
00:11.9,662.59,-291.79,-349.39,-85.66,124.18
00:12.0,664.3,-291.96,-347.68,-86.99,123.58
00:12.0,666.02,-292.09,-345.97,-88.31,122.96
00:12.1,667.72,-292.19,-344.27,-89.72,122.33
00:12.2,669.41,-292.24,-342.58,-91.11,121.7
00:12.2,671.1,-292.25,-340.9,-92.4,121.09
00:12.3,672.77,-292.22,-339.22,-93.68,120.48
00:12.3,674.44,-292.15,-337.55,-95.04,119.87
