,sLapDistance,xCarX,xCarY,aYaw,vCar
00:10.3,382.81,262.35,266.39,-134.43,191.87
00:10.4,385.48,264.22,268.29,-134.52,192.68
00:10.4,388.17,266.1,270.21,-134.63,193.44
00:10.5,390.86,267.99,272.12,-134.74,194.2
00:10.5,393.56,269.89,274.04,-134.85,194.96
00:10.6,396.27,271.8,275.97,-134.94,195.72
00:10.6,399,273.72,277.9,-135.04,196.44
00:10.7,401.73,275.65,279.84,-135.12,197.21
00:10.7,404.47,277.6,281.77,-135.15,197.95
00:10.7,407.23,279.55,283.72,-135.12,198.67
00:10.8,409.99,281.5,285.67,-135.06,199.39
00:10.9,412.77,283.47,287.63,-134.99,200.1
00:10.9,415.55,285.44,289.6,-134.92,200.84
00:11.0,418.34,287.41,291.58,-134.84,201.53
00:11.0,421.15,289.39,293.56,-134.74,202.25
00:11.1,423.96,291.38,295.56,-134.64,202.97
00:11.1,426.79,293.37,297.56,-134.57,203.67
00:11.2,429.62,295.36,299.57,-134.49,204.33
00:11.2,432.46,297.35,301.6,-134.36,205
00:11.3,435.31,299.35,303.63,-134.13,205.66
00:11.3,438.18,301.35,305.68,-133.75,206.32
00:11.4,441.05,303.34,307.75,-133.24,206.97
00:11.4,443.92,305.33,309.83,-132.61,207.59
00:11.5,446.81,307.3,311.94,-131.97,208.23
00:11.5,449.71,309.27,314.07,-131.42,208.83
00:11.6,452.61,311.21,316.22,-130.98,209.44
00:11.6,455.52,313.15,318.4,-130.62,210.01
00:11.6,458.44,315.07,320.6,-129.9,210.53
00:11.7,461.37,316.98,322.82,-128.86,211.16
00:11.7,464.31,318.87,325.06,-127.91,211.75
00:11.8,467.25,320.74,327.34,-127.44,212.32
00:11.8,470.21,322.59,329.64,-127.36,212.88
00:11.9,473.16,324.43,331.96,-127.06,213.39
00:11.9,476.13,326.24,334.31,-126.26,213.96
00:12.0,479.11,328.04,336.68,-125.36,214.5
00:12.0,482.09,329.82,339.07,-124.35,214.84
00:12.1,485.07,331.57,341.49,-123.42,214.61
00:12.2,488.04,333.29,343.92,-122.71,213.84
00:12.2,491,334.97,346.36,-121.77,212.66
00:12.3,493.94,336.61,348.81,-120.77,211.48
00:12.3,496.87,338.2,351.26,-119.77,210.15
00:12.4,499.78,339.74,353.73,-119,208.65
00:12.4,502.66,341.23,356.2,-118.31,207.05
00:12.4,505.53,342.68,358.67,-118.02,205.53
