,sLapDistance,xCarX,xCarY,aYaw,vCar
00:07.4,274.32,-57.17,203.63,-37.69,73.04
00:07.5,275.34,-57.97,204.26,-39.77,72.57
00:07.5,276.34,-58.73,204.91,-41.67,72.26
00:07.5,277.34,-59.47,205.59,-43.58,71.98
00:07.6,278.34,-60.18,206.29,-45.5,71.81
00:07.6,279.34,-60.86,207.01,-47.34,71.82
00:07.7,280.34,-61.53,207.76,-49.14,71.93
00:07.8,281.34,-62.16,208.53,-51,72.05
00:07.8,282.35,-62.78,209.32,-52.98,72.25
00:07.8,283.35,-63.36,210.13,-54.91,72.53
00:07.9,284.37,-63.93,210.97,-56.75,72.93
00:08.0,285.38,-64.47,211.83,-58.68,73.49
00:08.0,286.41,-64.98,212.72,-60.7,74.22
00:08.1,287.45,-65.47,213.63,-62.52,75.08
00:08.1,288.5,-65.94,214.57,-64.12,76
00:08.1,289.56,-66.39,215.53,-65.68,76.95
00:08.2,290.64,-66.82,216.52,-67.35,77.93
00:08.3,291.73,-67.22,217.53,-69.1,78.92
00:08.3,292.83,-67.6,218.57,-70.85,80.05
00:08.3,293.96,-67.96,219.63,-72.47,81.29
00:08.4,295.09,-68.3,220.72,-73.87,82.61
00:08.4,296.25,-68.62,221.83,-75.13,83.97
00:08.5,297.43,-68.91,222.97,-76.36,85.44
00:08.6,298.63,-69.19,224.13,-77.53,87
00:08.6,299.85,-69.45,225.32,-78.64,88.61
00:08.7,301.09,-69.69,226.54,-79.82,90.29
00:08.7,302.35,-69.91,227.79,-81.22,91.9
00:08.8,303.64,-70.11,229.06,-82.49,93.07
00:08.8,304.93,-70.29,230.34,-82.87,93.21
00:08.8,306.21,-70.47,231.62,-82.63,93.11
00:08.9,307.49,-70.64,232.9,-82.29,93.11
00:08.9,308.78,-70.81,234.18,-82.02,93.36
00:09.0,310.07,-70.98,235.47,-82,93.45
00:09.0,311.38,-71.15,236.75,-82.24,93.46
00:09.1,312.69,-71.31,238.03,-82.89,93.41
00:09.2,314,-71.47,239.31,-83.6,92.4
00:09.2,315.27,-71.61,240.58,-83.83,91.4
00:09.3,316.52,-71.74,241.83,-84.46,90.77
00:09.3,317.79,-71.87,243.09,-85.54,90.67
00:09.3,319.05,-72,244.34,-86.66,90.6
00:09.4,320.3,-72.11,245.59,-88.42,90.47
00:09.5,321.56,-72.18,246.84,-90.07,90.4
00:09.5,322.81,-72.21,248.09,-88.99,90.2
00:09.6,324.07,-72.2,249.34,-87.56,90.03
00:09.6,325.32,-72.18,250.59,-87.43,89.96
00:09.7,326.56,-72.18,251.83,-88.02,89.51
00:09.7,327.8,-72.17,253.06,-89.39,88.68
00:09.8,329.03,-72.15,254.29,-90.76,87.96
00:09.8,330.25,-72.11,255.51,-92.21,87.87
00:09.8,331.47,-72.07,256.73,-93.44,87.79
00:09.9,332.69,-72.02,257.94,-94.53,87.72
00:10.0,333.9,-71.97,259.16,-95.82,87.51
00:10.0,335.11,-71.89,260.36,-97.62,86.89
00:10.1,336.32,-71.77,261.56,-99.52,86.13
00:10.1,337.51,-71.6,262.73,-100.84,85.64
00:10.2,338.7,-71.38,263.9,-101.82,85.25
00:10.2,339.88,-71.13,265.05,-103.13,84.91
00:10.2,341.05,-70.85,266.2,-104.93,84.56
00:10.3,342.23,-70.54,267.33,-107,84.21
00:10.4,343.39,-70.21,268.44,-109.16,83.73
00:10.4,344.55,-69.84,269.54,-111.38,83.17
00:10.5,345.71,-69.43,270.62,-113.72,82.55
00:10.5,346.85,-68.98,271.66,-115.88,81.97
00:10.6,347.99,-68.48,272.68,-117.64,81.41
00:10.6,349.12,-67.95,273.68,-119.2,80.87
00:10.7,350.24,-67.39,274.65,-120.79,80.38
00:10.7,351.35,-66.81,275.59,-122.31,79.95
00:10.7,352.46,-66.2,276.52,-124,79.45
00:10.8,353.56,-65.57,277.42,-126.2,78.93
00:10.9,354.66,-64.91,278.3,-128.82,78.42
00:10.9,355.74,-64.24,279.14,-131.32,77.84
00:11.0,356.82,-63.53,279.96,-133.44,77.19
00:11.0,357.89,-62.8,280.74,-135.38,76.53
00:11.1,358.95,-62.05,281.48,-137.16,76.01
00:11.1,360,-61.27,282.2,-138.75,75.85
00:11.2,361.06,-60.48,282.88,-140.41,75.8
00:11.2,362.11,-59.65,283.54,-142.27,75.89
00:11.3,363.17,-58.81,284.17,-144.13,76.23
00:11.3,364.23,-57.94,284.78,-145.79,76.52
