,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:14.1,616.43,-163.27,-368.59,-150.66,81.13,,,
00:14.2,617.55,-162.29,-368.04,-148.94,80.58,,,
00:14.2,618.67,-161.34,-367.46,-147.18,80.03,,,
00:14.3,619.78,-160.41,-366.85,-145.34,79.48,,,
00:14.3,620.88,-159.51,-366.22,-143.47,78.93,,,
00:14.3,621.97,-158.63,-365.57,-141.59,78.38,,,
00:14.4,623.05,-157.79,-364.89,-139.72,77.84,,,
00:14.5,624.13,-156.97,-364.19,-137.83,77.28,,,
00:14.5,625.2,-156.18,-363.47,-135.89,76.73,,,
00:14.6,626.27,-155.42,-362.72,-133.95,76.2,,,
00:14.6,627.32,-154.7,-361.96,-132.09,75.67,,,
00:14.6,628.37,-154,-361.18,-130.25,75.14,,,
00:14.7,629.41,-153.34,-360.38,-128.35,74.61,,,
00:14.7,630.44,-152.71,-359.56,-126.38,74.09,,,
00:14.8,631.47,-152.11,-358.73,-124.39,73.57,,,
00:14.8,632.49,-151.54,-357.88,-122.36,73.04,,,
00:14.9,633.5,-151.01,-357.02,-120.33,72.53,,,
00:14.9,634.5,-150.51,-356.15,-118.35,72.01,,,
00:15.0,635.5,-150.05,-355.27,-116.37,71.53,,,
00:15.0,636.5,-149.62,-354.37,-114.29,71.35,,,
00:15.1,637.49,-149.23,-353.46,-112.26,71.36,,,
00:15.1,638.48,-148.86,-352.54,-110.42,71.51,,,
00:15.2,639.48,-148.53,-351.6,-108.61,71.79,,,
00:15.2,640.48,-148.23,-350.65,-106.75,72.12,,,
00:15.3,641.48,-147.95,-349.69,-104.84,72.44,,,
00:15.3,642.49,-147.71,-348.71,-102.92,72.78,,,
00:15.4,643.51,-147.5,-347.72,-100.98,73.14,,,
00:15.4,644.53,-147.32,-346.71,-99.01,73.54,,,
00:15.5,645.55,-147.18,-345.7,-96.98,74.03,,,
00:15.6,646.59,-147.07,-344.67,-94.9,74.57,,,
00:15.6,647.63,-146.99,-343.64,-92.93,75.14,,,
00:15.7,648.67,-146.94,-342.59,-91.17,75.79,,,
00:15.7,649.73,-146.93,-341.53,-89.58,76.54,,,
00:15.8,650.8,-146.95,-340.46,-88.04,77.45,,,
00:15.8,651.89,-146.99,-339.38,-86.44,78.52,,,
00:15.9,652.98,-147.07,-338.29,-84.71,79.7,,,
00:15.9,654.1,-147.17,-337.18,-82.92,80.96,,,
00:16.0,655.23,-147.31,-336.05,-81.18,82.25,,,
00:16.0,656.39,-147.48,-334.91,-79.62,83.57,,,
00:16.1,657.55,-147.68,-333.76,-78.27,84.91,,,
00:16.1,658.74,-147.91,-332.59,-76.98,86.35,,,
00:16.1,659.95,-148.18,-331.41,-75.66,87.79,,,
00:16.2,661.18,-148.47,-330.22,-74.38,89.16,,,
00:16.3,662.43,-148.79,-329.02,-73.03,90.53,,,
00:16.3,663.69,-149.15,-327.8,-71.81,91.94,,,
00:16.3,664.98,-149.53,-326.57,-70.87,93.43,,,
00:16.4,666.29,-149.94,-325.33,-70.22,94.97,,,
00:16.5,667.62,-150.37,-324.07,-69.73,96.52,,,
00:16.5,668.97,-150.83,-322.8,-69.16,98.11,,,
00:16.6,670.34,-151.32,-321.52,-68.45,99.75,,,
00:16.6,671.74,-151.83,-320.22,-67.64,101.38,,,
00:16.6,673.16,-152.37,-318.9,-66.83,103.07,,,
00:16.7,674.6,-152.93,-317.58,-66.09,104.84,,,
00:16.7,676.07,-153.52,-316.23,-65.42,106.66,,,
00:16.8,677.56,-154.13,-314.87,-64.82,108.44,,,
00:16.9,679.08,-154.76,-313.49,-64.4,110.16,,,
00:16.9,680.62,-155.41,-312.09,-64.28,111.41,,,
00:16.9,682.17,-156.07,-310.69,-64.55,111.27,,,
00:17.0,683.71,-156.72,-309.29,-65.18,110.71,,,
