,sLapDistance,xCarX,xCarY,aYaw,vCar
00:10.5,1543.77,-138.32,329.2,-111.42,137.09
00:10.5,1545.68,-137.63,330.98,-111.79,138.32
00:10.6,1547.61,-136.93,332.78,-112.2,139.46
00:10.6,1549.55,-136.2,334.59,-112.71,140.65
00:10.7,1551.51,-135.46,336.4,-113.18,141.95
00:10.7,1553.5,-134.7,338.23,-113.42,143.18
00:10.7,1555.49,-133.92,340.07,-113.56,144.32
00:10.8,1557.5,-133.12,341.92,-113.59,145.51
00:10.9,1559.53,-132.32,343.78,-113.46,146.7
00:10.9,1561.58,-131.51,345.66,-113.18,147.83
00:11.0,1563.64,-130.71,347.55,-112.74,148.95
00:11.0,1565.72,-129.9,349.47,-112.18,150.06
00:11.1,1567.81,-129.11,351.4,-111.53,151.17
00:11.1,1569.92,-128.33,353.36,-110.85,152.26
00:11.2,1572.04,-127.56,355.34,-110.15,153.3
00:11.2,1574.17,-126.81,357.34,-109.37,154.33
00:11.3,1576.32,-126.08,359.36,-108.54,155.35
00:11.3,1578.49,-125.37,361.41,-107.71,156.35
00:11.4,1580.67,-124.69,363.48,-106.8,157.3
00:11.4,1582.86,-124.03,365.56,-105.82,158.3
00:11.5,1585.06,-123.39,367.68,-104.94,159.24
00:11.5,1587.28,-122.79,369.81,-104.05,160.16
00:11.6,1589.51,-122.21,371.97,-103.12,161.08
00:11.6,1591.75,-121.66,374.14,-102.18,161.98
00:11.6,1594.01,-121.14,376.34,-101.21,162.85
00:11.7,1596.27,-120.66,378.55,-100.18,163.74
00:11.7,1598.55,-120.2,380.79,-99.2,164.62
00:11.8,1600.85,-119.78,383.04,-98.31,165.49
00:11.8,1603.15,-119.4,385.31,-97.45,166.32
00:11.9,1605.46,-119.05,387.6,-96.6,167.05
00:11.9,1607.78,-118.73,389.9,-95.97,166.57
00:12.0,1610.08,-118.45,392.18,-95.39,164.97
00:12.0,1612.36,-118.19,394.44,-94.9,162.64
00:12.1,1614.6,-117.97,396.67,-94.67,159.94
00:12.2,1616.8,-117.76,398.86,-94.46,157.05
00:12.2,1618.96,-117.58,401.02,-94.15,154.2
00:12.3,1621.08,-117.41,403.13,-93.71,151.42
00:12.3,1623.17,-117.26,405.21,-93.21,148.53
00:12.4,1625.21,-117.13,407.25,-92.7,145.6
00:12.4,1627.21,-117.02,409.25,-92.04,142.81
00:12.4,1629.18,-116.94,411.21,-91.44,140.05
00:12.5,1631.1,-116.87,413.14,-90.97,137.43
00:12.6,1633,-116.83,415.03,-90.25,135.06
00:12.6,1634.86,-116.8,416.89,-89.56,132.67
00:12.7,1636.68,-116.8,418.72,-88.96,130.26
00:12.7,1638.47,-116.82,420.51,-88.29,127.75
00:12.8,1640.23,-116.86,422.26,-87.58,125.22
00:12.8,1641.95,-116.93,423.98,-86.73,122.7
00:12.9,1643.64,-117.01,425.67,-85.79,120.25
00:12.9,1645.29,-117.11,427.32,-84.81,117.89
00:12.9,1646.92,-117.24,428.94,-83.58,115.62
00:13.0,1648.51,-117.39,430.53,-82.31,113.28
00:13.1,1650.07,-117.57,432.07,-81.09,111.06
00:13.1,1651.59,-117.78,433.59,-80,109.04
00:13.1,1653.09,-118.01,435.07,-79.02,107.07
00:13.2,1654.57,-118.26,436.52,-77.72,105.24
00:13.2,1656.02,-118.54,437.95,-76.29,103.44
00:13.3,1657.44,-118.85,439.34,-75.14,101.54
00:13.3,1658.83,-119.18,440.69,-74.02,99.6
00:13.4,1660.2,-119.54,442.02,-72.78,97.77
00:13.4,1661.55,-119.92,443.31,-71.56,96.05
00:13.5,1662.87,-120.32,444.56,-70.34,94.32
00:13.6,1664.17,-120.75,445.79,-68.99,92.54
00:13.6,1665.44,-121.2,446.98,-67.55,90.73
00:13.6,1666.69,-121.66,448.14,-66.09,88.93
00:13.7,1667.91,-122.15,449.26,-64.58,87.14
00:13.8,1669.11,-122.66,450.34,-63.03,85.39
00:13.8,1670.28,-123.19,451.39,-61.47,83.67
00:13.9,1671.43,-123.73,452.41,-59.87,81.95
00:13.9,1672.56,-124.3,453.38,-58.22,80.23
00:14.0,1673.66,-124.87,454.32,-56.58,78.54
00:14.0,1674.74,-125.47,455.22,-55.02,76.87
