,sLapDistance,xCarX,xCarY,aYaw,vCar,,,
00:09.5,293.25,-68,218.83,-70.75,69.65,,,
00:09.6,294.23,-68.31,219.76,-72.26,70.41,,,
00:09.6,295.21,-68.59,220.7,-73.71,71.19,,,
00:09.7,296.2,-68.86,221.66,-75.09,71.98,,,
00:09.7,297.21,-69.1,222.63,-76.48,72.81,,,
00:09.8,298.23,-69.32,223.63,-77.91,73.64,,,
00:09.8,299.26,-69.52,224.63,-79.33,74.45,,,
00:09.8,300.3,-69.7,225.66,-80.68,75.24,,,
00:09.9,301.35,-69.86,226.7,-81.94,76.03,,,
00:10.0,302.41,-69.99,227.75,-83.26,76.85,,,
00:10.0,303.48,-70.11,228.82,-84.46,77.58,,,
00:10.1,304.56,-70.21,229.89,-85.1,78.18,,,
00:10.1,305.65,-70.31,230.98,-85.35,78.68,,,
00:10.2,306.73,-70.4,232.07,-85.51,78.89,,,
00:10.2,307.83,-70.5,233.16,-85.81,79.6,,,
00:10.2,308.94,-70.59,234.26,-86.37,80.01,,,
00:10.3,310.05,-70.67,235.37,-87.14,80.31,,,
00:10.4,311.18,-70.75,236.48,-87.49,80.63,,,
00:10.4,312.3,-70.8,237.6,-87.5,80.57,,,
00:10.5,313.42,-70.85,238.71,-87.6,80.4,,,
00:10.5,314.54,-70.9,239.83,-87.63,80.38,,,
00:10.6,315.66,-70.94,240.94,-87.56,80.36,,,
00:10.6,316.76,-70.99,242.06,-87.72,80.34,,,
00:10.7,317.88,-71.03,243.17,-88.33,80.36,,,
00:10.7,319,-71.07,244.29,-89.17,80.38,,,
00:10.7,320.11,-71.09,245.4,-89.8,80.36,,,
00:10.8,321.23,-71.1,246.51,-90.22,80.34,,,
00:10.9,322.35,-71.09,247.63,-90.77,80.32,,,
00:10.9,323.46,-71.07,248.74,-91.47,80.3,,,
00:11.0,324.58,-71.03,249.85,-92.31,80.29,,,
00:11.0,325.7,-70.97,250.97,-93.28,80.28,,,
00:11.1,326.81,-70.89,252.08,-94.26,80.26,,,
00:11.1,327.92,-70.8,253.19,-95.29,80.22,,,
00:11.2,329.04,-70.69,254.3,-96.61,80.16,,,
00:11.2,330.15,-70.55,255.4,-98.2,80.09,,,
00:11.3,331.26,-70.39,256.5,-99.8,80.03,,,
00:11.3,332.38,-70.2,257.59,-101.16,79.86,,,
00:11.4,333.48,-69.98,258.67,-102.43,79.46,,,
00:11.4,334.58,-69.73,259.74,-103.81,78.92,,,
00:11.5,335.67,-69.46,260.8,-105.4,78.33,,,
00:11.5,336.76,-69.17,261.84,-107.09,77.76,,,
00:11.6,337.84,-68.85,262.87,-108.78,77.23,,,
00:11.6,338.91,-68.51,263.88,-110.23,76.68,,,
00:11.6,339.97,-68.14,264.88,-111.44,76.05,,,
00:11.7,341.02,-67.75,265.85,-112.73,75.44,,,
00:11.7,342.06,-67.34,266.81,-114.26,74.91,,,
00:11.8,343.1,-66.91,267.75,-115.89,74.38,,,
00:11.8,344.13,-66.46,268.68,-117.45,73.84,,,
00:11.9,345.15,-65.99,269.58,-119.04,73.24,,,
00:11.9,346.17,-65.49,270.46,-120.71,72.68,,,
00:12.0,347.18,-64.97,271.32,-122.32,72.15,,,
00:12.0,348.18,-64.42,272.16,-123.88,71.66,,,
00:12.1,349.17,-63.86,272.97,-125.42,71.26,,,
00:12.2,350.16,-63.27,273.77,-127.08,70.96,,,
00:12.2,351.15,-62.66,274.54,-128.86,70.69,,,
00:12.3,352.13,-62.02,275.29,-130.73,70.41,,,
00:12.3,353.11,-61.37,276.01,-132.62,70.14,,,
00:12.4,354.09,-60.7,276.72,-134.46,69.85,,,
00:12.4,355.06,-60.01,277.39,-136.25,69.56,,,
00:12.4,356.02,-59.3,278.05,-138,69.25,,,
00:12.5,356.98,-58.58,278.67,-139.81,68.94,,,
00:12.6,357.94,-57.83,279.28,-141.68,68.65,,,
00:12.6,358.9,-57.08,279.85,-143.45,68.4,,,
00:12.7,359.85,-56.3,280.4,-144.97,68.39,,,
00:12.7,360.8,-55.52,280.94,-146.5,68.67,,,
00:12.8,361.76,-54.71,281.45,-148.28,69.19,,,
00:12.8,362.73,-53.88,281.94,-150.15,69.78,,,
00:12.9,363.7,-53.03,282.42,-151.93,70.31,,,
00:12.9,364.68,-52.16,282.87,-153.46,70.92,,,
00:12.9,365.67,-51.27,283.3,-154.71,71.5,,,
00:13.0,366.67,-50.36,283.72,-155.84,72.03,,,
00:13.1,367.67,-49.44,284.11,-157.02,72.66,,,
00:13.1,368.69,-48.5,284.49,-158.35,73.35,,,
00:13.1,369.71,-47.54,284.86,-159.87,74.13,,,
00:13.2,370.75,-46.57,285.21,-161.5,74.99,,,
00:13.2,371.79,-45.58,285.55,-163.12,75.9,,,
00:13.3,372.86,-44.56,285.86,-164.63,76.8,,,
00:13.3,373.93,-43.53,286.14,-165.96,77.72,,,
00:13.4,375.02,-42.47,286.4,-167.23,78.7,,,
00:13.4,376.12,-41.4,286.64,-168.5,79.72,,,
00:13.5,377.23,-40.31,286.85,-169.67,80.78,,,
00:13.6,378.36,-39.19,287.05,-170.63,81.86,,,
00:13.6,379.51,-38.06,287.23,-171.51,82.95,,,
00:13.6,380.67,-36.92,287.39,-172.53,84.09,,,
00:13.7,381.84,-35.75,287.53,-173.76,85.19,,,
00:13.8,383.03,-34.56,287.66,-175.19,86.27,,,
00:13.8,384.24,-33.36,287.77,-176.72,87.38,,,
00:13.9,385.46,-32.15,287.85,-178.26,88.55,,,
