,sLapDistance,xCarX,xCarY,aYaw,vCar
00:09.1,496.55,-92.62,6.13,2.77,171.72
00:09.2,498.93,-94.99,6.01,2.72,170.58
00:09.2,501.29,-97.35,5.89,2.69,169.35
00:09.3,503.63,-99.69,5.78,2.66,168.04
00:09.3,505.96,-102.01,5.67,2.62,166.71
00:09.3,508.26,-104.32,5.56,2.58,165.31
00:09.4,510.55,-106.6,5.46,2.57,163.73
00:09.5,512.81,-108.86,5.35,2.54,162.28
00:09.5,515.05,-111.1,5.25,2.5,160.81
00:09.6,517.28,-113.32,5.15,2.47,159.21
00:09.6,519.48,-115.52,5.06,2.46,157.55
00:09.7,521.66,-117.7,4.96,2.44,155.96
00:09.7,523.81,-119.85,4.87,2.43,154.42
00:09.8,525.94,-121.98,4.78,2.41,152.73
00:09.8,528.05,-124.09,4.69,2.37,151.16
00:09.8,530.14,-126.17,4.6,2.32,149.6
00:09.9,532.21,-128.24,4.51,2.29,148.19
00:10.0,534.26,-130.29,4.43,2.23,146.37
00:10.0,536.28,-132.3,4.35,2.23,144.52
00:10.1,538.27,-134.3,4.27,2.23,142.7
00:10.1,540.24,-136.26,4.19,2.19,140.79
00:10.2,542.18,-138.21,4.11,2.18,139.02
00:10.2,544.1,-140.12,4.04,2.12,137.08
00:10.2,545.99,-142.01,3.97,2.07,134.99
00:10.3,547.85,-143.87,3.9,2.01,132.99
00:10.4,549.68,-145.7,3.83,1.95,130.89
00:10.4,551.49,-147.5,3.77,1.88,128.8
00:10.5,553.26,-149.28,3.71,1.77,126.81
00:10.5,555.01,-151.02,3.65,1.55,124.87
00:10.6,556.73,-152.75,3.61,1.22,122.96
00:10.6,558.42,-154.44,3.57,0.78,121.13
00:10.7,560.09,-156.11,3.54,0.18,119.32
00:10.7,561.74,-157.75,3.53,-0.58,117.49
00:10.7,563.36,-159.37,3.54,-1.38,115.66
00:10.8,564.95,-160.97,3.57,-2.14,113.87
00:10.9,566.52,-162.54,3.62,-2.94,112.13
00:10.9,568.07,-164.08,3.7,-3.81,110.45
00:11.0,569.59,-165.6,3.8,-4.82,108.83
00:11.0,571.09,-167.09,3.92,-5.97,107.35
