,sLapDistance,xCarX,xCarY,vCar
00:10.2,524.51,61.19,47.65,250.13
00:10.3,527.99,64.34,49.09,250.89
00:10.4,531.48,67.5,50.55,251.62
00:10.4,534.98,70.66,52.03,252.33
00:10.5,538.49,73.82,53.52,253.06
00:10.5,542.01,77,55.02,253.76
00:10.6,545.54,80.18,56.51,254.46
00:10.6,549.07,83.39,57.99,255.13
00:10.7,552.62,86.6,59.47,255.78
00:10.7,556.18,89.84,60.92,256.42
00:10.7,559.74,93.1,62.34,256.98
00:10.8,563.31,96.39,63.71,257.55
00:10.9,566.89,99.7,65.05,258.07
00:10.9,570.48,103.04,66.34,258.59
00:11.0,574.08,106.4,67.58,259.13
00:11.0,577.68,109.79,68.78,259.71
00:11.1,581.29,113.2,69.93,260.26
00:11.1,584.9,116.62,71.06,260.1
00:11.2,588.5,120.04,72.16,257.76
00:11.2,592.06,123.43,73.21,254.65
00:11.3,595.57,126.79,74.22,251.29
00:11.3,599.04,130.11,75.2,247.97
00:11.4,602.46,133.39,76.15,244.71
00:11.4,605.83,136.62,77.07,241.62
00:11.5,609.17,139.83,77.98,238.93
00:11.5,612.47,143,78.88,236.35
00:11.6,615.73,146.13,79.75,232.85
00:11.6,618.93,149.22,80.6,228.88
00:11.6,622.09,152.26,81.41,225.49
00:11.7,625.2,155.27,82.2,222.48
00:11.7,628.27,158.23,82.98,219.84
00:11.8,631.31,161.17,83.74,217.84
00:11.8,634.32,164.08,84.51,216.17
00:11.9,637.3,166.97,85.26,213.96
00:11.9,640.26,169.83,86.02,211.54
00:12.0,643.17,172.65,86.76,207.84
00:12.0,646.03,175.41,87.5,204.5
00:12.1,648.85,178.13,88.24,201.6
00:12.2,651.63,180.81,88.98,198.82
00:12.2,654.37,183.45,89.73,196.12
00:12.3,657.08,186.05,90.48,193.51
00:12.3,659.75,188.61,91.22,191.16
00:12.4,662.39,191.15,91.97,189.22
00:12.4,665,193.66,92.71,187.95
00:12.4,667.6,196.15,93.45,186.7
00:12.5,670.18,198.62,94.19,184.9
00:12.6,672.73,201.06,94.94,181.62
00:12.6,675.23,203.44,95.71,178.37
00:12.7,677.69,205.76,96.52,175.66
00:12.7,680.11,208.03,97.36,173.23
00:12.8,682.5,210.25,98.23,170.88
00:12.8,684.85,212.44,99.12,168.55
00:12.9,687.18,214.57,100.03,166.22
00:12.9,689.47,216.67,100.96,163.93
00:12.9,691.74,218.72,101.91,161.65
00:13.0,693.96,220.73,102.88,159.41
00:13.1,696.17,222.7,103.86,157.27
00:13.1,698.34,224.63,104.85,155.33
00:13.1,700.48,226.52,105.86,153.46
00:13.2,702.6,228.38,106.87,151.58
00:13.2,704.69,230.2,107.9,149.58
00:13.3,706.75,231.98,108.94,147.52
00:13.3,708.79,233.72,110,145.4
00:13.4,710.79,235.42,111.07,143.24
00:13.4,712.76,237.06,112.16,141.04
00:13.5,714.71,238.66,113.27,138.91
00:13.6,716.62,240.21,114.39,136.88
00:13.6,718.51,241.71,115.53,134.94
00:13.6,720.37,243.17,116.69,133.04
00:13.7,722.2,244.59,117.85,131.21
00:13.8,724.01,245.96,119.03,129.41
00:13.8,725.8,247.3,120.22,127.59
00:13.9,727.55,248.59,121.41,125.77
00:13.9,729.29,249.83,122.62,124.05
00:14.0,731,251.03,123.85,122.5
00:14.0,732.69,252.18,125.09,121.19
00:14.1,734.37,253.29,126.34,120.08
00:14.1,736.03,254.35,127.62,119.19
00:14.2,737.68,255.39,128.9,118.38
00:14.2,739.31,256.38,130.21,117.64
00:14.3,740.94,257.33,131.53,116.95
00:14.3,742.56,258.24,132.87,116.28
00:14.3,744.17,259.11,134.22,115.62
00:14.4,745.77,259.94,135.59,115.07
00:14.5,747.36,260.73,136.98,114.61
00:14.5,748.95,261.48,138.38,114.16
00:14.6,750.53,262.19,139.79,113.7
00:14.6,752.11,262.86,141.22,113.26
00:14.6,753.68,263.5,142.65,112.82
00:14.7,755.24,264.08,144.1,112.4
00:14.7,756.8,264.63,145.56,112
00:14.8,758.35,265.13,147.03,111.67
00:14.8,759.9,265.59,148.51,111.38
00:14.9,761.45,266.01,150,111.16
00:14.9,762.99,266.38,151.5,110.97
00:15.0,764.53,266.71,153,110.83
00:15.0,766.07,267,154.51,110.71
00:15.1,767.6,267.25,156.03,110.61
00:15.1,769.14,267.46,157.55,110.54
00:15.2,770.67,267.63,159.07,110.48
00:15.2,772.21,267.75,160.6,110.56
00:15.3,773.75,267.83,162.14,110.72
00:15.3,775.29,267.87,163.67,111.07
