,sLapDistance,xCarX,xCarY,vCar
01:00.3,2403.94,-204.65,-98.13,149.04
01:00.3,2406.02,-205.23,-100.13,150.93
01:00.3,2408.13,-205.78,-102.17,152.91
01:00.4,2410.27,-206.32,-104.24,154.86
01:00.4,2412.44,-206.84,-106.34,156.77
01:00.5,2414.63,-207.35,-108.47,158.65
01:00.6,2416.84,-207.84,-110.63,160.48
01:00.6,2419.08,-208.33,-112.81,162.28
01:00.7,2421.35,-208.8,-115.03,164.08
01:00.7,2423.64,-209.25,-117.28,165.85
01:00.7,2425.96,-209.67,-119.56,167.58
01:00.8,2428.3,-210.06,-121.86,169.22
01:00.8,2430.65,-210.42,-124.19,170.6
01:00.9,2433.03,-210.75,-126.55,171.86
01:01.0,2435.43,-211.04,-128.93,173
01:01.0,2437.84,-211.3,-131.32,173.94
01:01.0,2440.25,-211.5,-133.73,174.68
01:01.1,2442.68,-211.66,-136.16,175.38
01:01.1,2445.12,-211.77,-138.6,176.12
01:01.2,2447.58,-211.83,-141.05,176.89
01:01.3,2450.04,-211.85,-143.51,177.67
01:01.3,2452.51,-211.82,-145.98,178.46
01:01.4,2454.99,-211.76,-148.47,179.24
01:01.4,2457.49,-211.65,-150.96,180
01:01.4,2459.99,-211.5,-153.46,180.71
01:01.5,2462.5,-211.3,-155.97,181.36
01:01.5,2465.02,-211.05,-158.48,181.98
01:01.6,2467.55,-210.75,-160.99,182.59
01:01.7,2470.09,-210.4,-163.51,183.17
01:01.7,2472.64,-210.01,-166.02,183.71
01:01.8,2475.19,-209.56,-168.54,184.19
01:01.8,2477.75,-209.07,-171.05,184.58
01:01.8,2480.32,-208.52,-173.56,184.91
01:01.9,2482.89,-207.94,-176.06,185.19
01:01.9,2485.46,-207.3,-178.56,185.38
01:02.0,2488.03,-206.62,-181.04,185.52
01:02.1,2490.61,-205.89,-183.51,185.64
01:02.1,2493.19,-205.12,-185.97,185.8
01:02.1,2495.77,-204.29,-188.42,185.91
01:02.2,2498.35,-203.42,-190.85,185.94
01:02.2,2500.93,-202.49,-193.26,186.03
01:02.3,2503.52,-201.52,-195.65,186.23
01:02.4,2506.1,-200.51,-198.04,186.46
01:02.4,2508.69,-199.46,-200.4,186.68
01:02.5,2511.29,-198.35,-202.75,186.88
01:02.5,2513.88,-197.2,-205.08,187.25
01:02.5,2516.49,-195.99,-207.39,187.65
01:02.6,2519.1,-194.74,-209.67,188.15
01:02.6,2521.71,-193.43,-211.94,188.75
01:02.7,2524.34,-192.09,-214.2,189.41
01:02.8,2526.97,-190.71,-216.44,190.13
01:02.8,2529.62,-189.3,-218.69,190.9
01:02.9,2532.27,-187.88,-220.93,191.68
01:02.9,2534.94,-186.44,-223.18,192.45
01:03.0,2537.62,-184.99,-225.43,193.07
01:03.0,2540.3,-183.54,-227.68,193.36
01:03.0,2542.99,-182.1,-229.95,193.63
01:03.1,2545.68,-180.68,-232.24,193.86
01:03.2,2548.37,-179.29,-234.54,194.14
01:03.2,2551.07,-177.93,-236.87,194.42
01:03.2,2553.77,-176.61,-239.23,194.71
01:03.3,2556.48,-175.32,-241.61,194.94
01:03.3,2559.19,-174.05,-244.01,195.44
01:03.4,2561.91,-172.79,-246.42,195.99
01:03.5,2564.63,-171.55,-248.84,196.68
01:03.5,2567.37,-170.32,-251.29,197.34
01:03.6,2570.11,-169.13,-253.76,197.91
01:03.6,2572.86,-167.98,-256.26,198.48
01:03.6,2575.62,-166.88,-258.79,199.08
01:03.7,2578.39,-165.8,-261.34,199.17
01:03.8,2581.14,-164.77,-263.9,197.41
01:03.8,2583.86,-163.77,-266.43,194.6
01:03.8,2586.54,-162.82,-268.94,191.48
01:03.9,2589.18,-161.92,-271.42,188.32
01:04.0,2591.77,-161.05,-273.86,185.09
01:04.0,2594.32,-160.23,-276.27,181.8
01:04.0,2596.82,-159.46,-278.65,178.43
01:04.1,2599.27,-158.74,-281,175.06
01:04.2,2601.68,-158.07,-283.31,171.85
01:04.2,2604.04,-157.45,-285.6,168.85
01:04.3,2606.37,-156.87,-287.85,166.06
01:04.3,2608.66,-156.33,-290.07,163.45
01:04.3,2610.91,-155.81,-292.26,160.44
01:04.4,2613.11,-155.32,-294.41,157.32
01:04.4,2615.28,-154.85,-296.53,154.33
01:04.5,2617.4,-154.39,-298.6,151.41
01:04.6,2619.49,-153.96,-300.64,148.57
01:04.6,2621.53,-153.55,-302.64,146
01:04.7,2623.54,-153.17,-304.61,143.25
01:04.7,2625.51,-152.83,-306.55,140.49
01:04.8,2627.44,-152.52,-308.46,137.81
01:04.8,2629.34,-152.25,-310.34,135.27
01:04.8,2631.2,-152.02,-312.19,132.89
01:04.9,2633.03,-151.81,-314,130.64
01:04.9,2634.83,-151.63,-315.79,128.26
01:05.0,2636.59,-151.48,-317.55,125.89
01:05.0,2638.32,-151.35,-319.28,123.64
01:05.1,2640.03,-151.27,-320.98,121.78
01:05.2,2641.71,-151.21,-322.66,120.31
01:05.2,2643.37,-151.18,-324.32,119.11
01:05.3,2645.01,-151.17,-325.97,118.03
01:05.3,2646.65,-151.19,-327.6,117.03
01:05.3,2648.27,-151.23,-329.22,116.17
01:05.4,2649.87,-151.31,-330.83,115.4
01:05.5,2651.47,-151.41,-332.42,114.65
01:05.5,2653.06,-151.55,-334,113.98
01:05.5,2654.64,-151.72,-335.57,113.55
01:05.6,2656.21,-151.92,-337.13,113.24
01:05.7,2657.78,-152.16,-338.69,113
01:05.7,2659.35,-152.44,-340.23,112.85
01:05.7,2660.91,-152.75,-341.77,112.77
01:05.8,2662.47,-153.1,-343.29,112.76
01:05.8,2664.04,-153.48,-344.81,112.74
01:05.9,2665.61,-153.91,-346.32,112.71
01:06.0,2667.17,-154.37,-347.81,112.71
01:06.0,2668.73,-154.87,-349.3,112.77
01:06.0,2670.3,-155.41,-350.77,112.82
01:06.1,2671.87,-155.98,-352.23,112.86
01:06.1,2673.44,-156.59,-353.67,112.84
01:06.2,2675,-157.22,-355.1,112.36
01:06.2,2676.55,-157.87,-356.52,111.39
01:06.3,2678.09,-158.52,-357.91,110.14
01:06.4,2679.61,-159.17,-359.28,108.84
01:06.4,2681.12,-159.8,-360.65,107.58
01:06.5,2682.6,-160.39,-362.01,106.48
01:06.5,2684.08,-160.94,-363.38,105.65
01:06.5,2685.54,-161.46,-364.75,105.04
01:06.6,2686.99,-161.94,-366.12,104.6
01:06.7,2688.44,-162.38,-367.5,104.13
01:06.7,2689.88,-162.77,-368.89,103.68
01:06.7,2691.32,-163.13,-370.28,103.34
01:06.8,2692.74,-163.46,-371.68,103.08
01:06.8,2694.17,-163.77,-373.07,102.82
01:06.9,2695.6,-164.04,-374.48,102.8
01:07.0,2697.02,-164.27,-375.88,102.62
01:07.0,2698.45,-164.45,-377.3,102.6
01:07.1,2699.87,-164.57,-378.72,102.72
01:07.1,2701.3,-164.65,-380.14,103.1
01:07.2,2702.74,-164.7,-381.58,103.76
01:07.2,2704.18,-164.73,-383.03,104.62
01:07.2,2705.64,-164.72,-384.48,105.57
01:07.3,2707.12,-164.68,-385.96,106.51
01:07.3,2708.6,-164.6,-387.44,107.42
01:07.4,2710.1,-164.48,-388.93,108.32
01:07.5,2711.61,-164.32,-390.44,109.19
01:07.5,2713.13,-164.12,-391.94,110.06
01:07.5,2714.66,-163.89,-393.46,110.92
01:07.6,2716.21,-163.61,-394.98,111.86
01:07.6,2717.77,-163.29,-396.51,112.92
01:07.7,2719.35,-162.92,-398.04,114.1
01:07.8,2720.94,-162.51,-399.58,115.43
01:07.8,2722.55,-162.06,-401.13,116.84
01:07.8,2724.19,-161.56,-402.69,118.53
01:07.9,2725.85,-161.03,-404.26,120.49
01:07.9,2727.53,-160.47,-405.85,122.59
01:08.0,2729.25,-159.87,-407.46,124.82
01:08.0,2731,-159.26,-409.1,127.12
01:08.1,2732.78,-158.61,-410.76,129.38
01:08.2,2734.6,-157.93,-412.44,131.6
01:08.2,2736.44,-157.22,-414.14,133.79
01:08.3,2738.31,-156.46,-415.85,135.93
01:08.3,2740.21,-155.67,-417.58,138.01
01:08.3,2742.14,-154.85,-419.33,140.1
01:08.4,2744.1,-153.98,-421.09,142.17
01:08.5,2746.09,-153.07,-422.86,144.17
01:08.5,2748.11,-152.13,-424.64,146.12
01:08.5,2750.15,-151.14,-426.42,148
01:08.6,2752.22,-150.1,-428.22,149.8
01:08.7,2754.31,-149.02,-430.01,151.64
01:08.7,2756.43,-147.9,-431.8,153.49
01:08.7,2758.57,-146.73,-433.6,155.21
01:08.8,2760.74,-145.51,-435.39,156.92
01:08.8,2762.93,-144.25,-437.18,158.58
01:08.9,2765.14,-142.94,-438.97,160.24
01:09.0,2767.38,-141.6,-440.76,161.9
01:09.0,2769.64,-140.21,-442.55,163.55
01:09.0,2771.92,-138.79,-444.33,165.16
01:09.1,2774.22,-137.31,-446.1,166.76
01:09.1,2776.55,-135.79,-447.85,168.35
01:09.2,2778.9,-134.22,-449.6,169.91
01:09.3,2781.27,-132.61,-451.34,171.52
01:09.3,2783.66,-130.95,-453.07,173.12
01:09.3,2786.08,-129.26,-454.8,174.71
01:09.4,2788.51,-127.53,-456.51,176.27
01:09.4,2790.97,-125.76,-458.21,177.79
01:09.5,2793.45,-123.94,-459.9,179.15
01:09.6,2795.94,-122.08,-461.57,179.34
01:09.6,2798.41,-120.21,-463.19,176.83
01:09.7,2800.84,-118.36,-464.76,173.42
01:09.7,2803.23,-116.52,-466.28,169.84
01:09.8,2805.56,-114.71,-467.75,166.26
01:09.8,2807.84,-112.91,-469.16,162.68
01:09.9,2810.08,-111.14,-470.53,159.27
01:09.9,2812.27,-109.4,-471.86,156.02
01:10.0,2814.41,-107.68,-473.14,152.75
01:10.0,2816.51,-105.98,-474.37,149.54
01:10.0,2818.56,-104.31,-475.56,146.29
01:10.1,2820.57,-102.64,-476.69,143.19
01:10.2,2822.54,-101,-477.77,140.49
01:10.2,2824.47,-99.36,-478.8,137.86
01:10.2,2826.37,-97.75,-479.8,135.31
01:10.3,2828.23,-96.16,-480.76,132.45
01:10.4,2830.05,-94.6,-481.69,129.13
01:10.4,2831.82,-93.08,-482.6,125.92
01:10.5,2833.55,-91.59,-483.48,122.66
01:10.5,2835.23,-90.14,-484.33,119.3
01:10.5,2836.86,-88.73,-485.15,115.97
01:10.6,2838.45,-87.35,-485.94,112.74
01:10.7,2839.99,-86.01,-486.7,109.49
01:10.7,2841.49,-84.71,-487.44,106.25
01:10.7,2842.95,-83.44,-488.15,103.12
01:10.8,2844.36,-82.21,-488.85,100.12
01:10.8,2845.73,-81.02,-489.52,97.24
01:10.9,2847.06,-79.86,-490.18,94.49
01:11.0,2848.35,-78.74,-490.82,91.76
01:11.0,2849.61,-77.65,-491.45,89.02
01:11.1,2850.83,-76.6,-492.06,86.41
01:11.1,2852.01,-75.58,-492.67,84.02
01:11.2,2853.17,-74.6,-493.28,81.98
01:11.2,2854.29,-73.66,-493.89,80.2
01:11.2,2855.39,-72.73,-494.49,78.53
01:11.3,2856.47,-71.84,-495.1,77.01
01:11.3,2857.54,-70.98,-495.72,75.69
01:11.4,2858.58,-70.14,-496.34,74.66
01:11.5,2859.61,-69.34,-496.98,73.76
01:11.5,2860.63,-68.56,-497.64,72.77
01:11.5,2861.63,-67.81,-498.3,71.66
01:11.6,2862.62,-67.1,-498.99,70.44
01:11.7,2863.59,-66.42,-499.68,69.15
01:11.7,2864.54,-65.77,-500.38,67.8
01:11.8,2865.48,-65.16,-501.08,66.44
01:11.8,2866.39,-64.59,-501.79,65.16
01:11.8,2867.29,-64.06,-502.51,63.88
01:11.9,2868.17,-63.56,-503.24,62.51
01:11.9,2869.03,-63.1,-503.96,61.1
01:12.0,2869.87,-62.68,-504.69,59.72
01:12.0,2870.69,-62.29,-505.41,58.37
01:12.1,2871.5,-61.94,-506.13,57.06
01:12.2,2872.29,-61.63,-506.85,55.82
01:12.2,2873.06,-61.35,-507.56,54.67
01:12.3,2873.82,-61.11,-508.28,53.65
01:12.3,2874.56,-60.91,-508.99,52.76
01:12.3,2875.3,-60.74,-509.69,51.93
01:12.4,2876.02,-60.6,-510.4,51.15
01:12.5,2876.73,-60.5,-511.09,50.42
01:12.5,2877.44,-60.44,-511.79,49.85
01:12.5,2878.13,-60.41,-512.47,49.38
01:12.6,2878.82,-60.41,-513.16,48.92
01:12.6,2879.51,-60.45,-513.83,48.46
01:12.7,2880.19,-60.52,-514.5,48.01
01:12.8,2880.86,-60.62,-515.15,47.63
01:12.8,2881.53,-60.76,-515.8,47.58
01:12.8,2882.21,-60.93,-516.44,47.85
01:12.9,2882.88,-61.14,-517.07,48.39
01:12.9,2883.57,-61.37,-517.71,49.18
01:13.0,2884.27,-61.64,-518.34,50.08
01:13.0,2884.98,-61.93,-518.98,51.04
01:13.1,2885.7,-62.27,-519.61,52
01:13.2,2886.44,-62.63,-520.24,53.01
01:13.2,2887.19,-63.03,-520.87,54.11
01:13.3,2887.96,-63.46,-521.5,55.34
01:13.3,2888.74,-63.92,-522.12,56.75
01:13.3,2889.54,-64.42,-522.74,58.3
01:13.4,2890.37,-64.96,-523.37,60.05
01:13.5,2891.22,-65.53,-523.99,61.87
01:13.5,2892.09,-66.13,-524.62,63.65
01:13.5,2892.99,-66.77,-525.24,65.35
01:13.6,2893.91,-67.45,-525.86,66.95
01:13.7,2894.86,-68.16,-526.47,68.46
01:13.7,2895.82,-68.91,-527.07,69.88
01:13.7,2896.8,-69.69,-527.66,71.3
01:13.8,2897.8,-70.51,-528.23,72.67
01:13.9,2898.82,-71.37,-528.79,74.06
01:13.9,2899.86,-72.26,-529.32,75.52
01:14.0,2900.92,-73.18,-529.84,77.14
01:14.0,2902.01,-74.14,-530.33,78.86
01:14.1,2903.11,-75.14,-530.82,80.74
01:14.1,2904.25,-76.17,-531.29,82.8
01:14.2,2905.41,-77.24,-531.76,84.97
01:14.2,2906.61,-78.34,-532.22,87.2
01:14.2,2907.84,-79.47,-532.69,89.45
01:14.3,2909.1,-80.63,-533.17,91.72
01:14.3,2910.39,-81.83,-533.64,94.02
01:14.4,2911.71,-83.06,-534.11,96.35
01:14.5,2913.06,-84.33,-534.59,98.68
01:14.5,2914.45,-85.63,-535.06,100.99
01:14.6,2915.87,-86.97,-535.53,103.35
01:14.6,2917.32,-88.34,-536,105.79
01:14.7,2918.81,-89.76,-536.45,108.24
01:14.7,2920.33,-91.21,-536.89,110.56
01:14.7,2921.87,-92.69,-537.32,111.42
01:14.8,2923.41,-94.17,-537.73,110
01:14.8,2924.92,-95.63,-538.11,107.85
01:14.9,2926.4,-97.07,-538.48,105.58
01:15.0,2927.85,-98.47,-538.82,103.41
01:15.0,2929.27,-99.85,-539.15,101.06
01:15.0,2930.66,-101.2,-539.45,98.43
01:15.1,2932.01,-102.53,-539.72,96.08
01:15.2,2933.33,-103.82,-539.96,94.08
01:15.2,2934.63,-105.1,-540.18,92.45
01:15.2,2935.9,-106.35,-540.37,91.12
01:15.3,2937.16,-107.6,-540.55,89.83
01:15.3,2938.4,-108.82,-540.7,88.52
01:15.4,2939.61,-110.04,-540.82,87.2
01:15.4,2940.82,-111.23,-540.92,86.04
01:15.5,2942.01,-112.42,-540.97,85.12
01:15.5,2943.18,-113.59,-541,84.12
01:15.6,2944.34,-114.75,-540.98,82.88
01:15.7,2945.48,-115.89,-540.94,81.41
01:15.7,2946.6,-117.01,-540.86,80.05
01:15.8,2947.71,-118.1,-540.75,78.89
01:15.8,2948.8,-119.18,-540.61,77.78
01:15.8,2949.87,-120.24,-540.45,76.61
01:15.9,2950.92,-121.28,-540.25,75.37
01:15.9,2951.96,-122.29,-540.02,74.18
01:16.0,2952.98,-123.28,-539.76,73.06
01:16.0,2953.99,-124.24,-539.48,72.02
01:16.1,2954.99,-125.19,-539.17,71.09
01:16.2,2955.97,-126.11,-538.84,70.32
01:16.2,2956.94,-127.01,-538.48,69.73
01:16.2,2957.91,-127.9,-538.09,69.27
01:16.3,2958.86,-128.76,-537.67,68.83
01:16.4,2959.82,-129.6,-537.23,68.41
01:16.4,2960.77,-130.43,-536.76,67.98
01:16.5,2961.71,-131.23,-536.26,67.56
01:16.5,2962.64,-132,-535.74,67.15
01:16.5,2963.58,-132.75,-535.19,67.08
01:16.6,2964.52,-133.49,-534.61,67.74
01:16.6,2965.46,-134.21,-534,68.66
01:16.7,2966.42,-134.93,-533.36,69.78
01:16.8,2967.4,-135.64,-532.69,70.94
01:16.8,2968.39,-136.34,-531.99,72.07
01:16.8,2969.4,-137.04,-531.26,73.21
01:16.9,2970.43,-137.72,-530.5,74.44
01:16.9,2971.47,-138.4,-529.71,75.81
01:17.0,2972.53,-139.07,-528.89,77.3
01:17.0,2973.61,-139.73,-528.03,78.94
01:17.1,2974.72,-140.38,-527.13,80.8
01:17.2,2975.86,-141.01,-526.18,82.85
01:17.2,2977.03,-141.63,-525.2,85.04
01:17.3,2978.22,-142.24,-524.18,87.32
01:17.3,2979.45,-142.85,-523.11,89.68
01:17.3,2980.71,-143.46,-522,92.19
01:17.4,2982.02,-144.06,-520.86,94.93
01:17.5,2983.36,-144.67,-519.66,97.74
01:17.5,2984.74,-145.27,-518.43,100.53
01:17.6,2986.15,-145.87,-517.15,103.25
01:17.6,2987.61,-146.47,-515.82,105.97
01:17.7,2989.1,-147.07,-514.46,108.64
01:17.7,2990.63,-147.67,-513.06,111.28
01:17.7,2992.19,-148.29,-511.62,113.87
01:17.8,2993.79,-148.91,-510.15,116.42
01:17.8,2995.42,-149.54,-508.64,118.93
01:17.9,2997.09,-150.18,-507.1,121.34
01:18.0,2998.79,-150.83,-505.53,123.59
01:18.0,3000.52,-151.5,-503.93,125.66
01:18.0,3002.29,-152.2,-502.31,127.99
01:18.1,3004.08,-152.93,-500.68,130.14
01:18.2,3005.9,-153.69,-499.02,132.25
01:18.2,3007.75,-154.48,-497.35,134.37
01:18.3,3009.63,-155.3,-495.65,136.41
01:18.3,3011.54,-156.14,-493.94,138.58
01:18.3,3013.48,-157,-492.2,140.81
01:18.4,3015.45,-157.89,-490.44,143.03
01:18.5,3017.45,-158.8,-488.66,145.19
01:18.5,3019.49,-159.74,-486.86,147.3
01:18.5,3021.54,-160.7,-485.04,149.37
01:18.6,3023.63,-161.67,-483.19,151.41
01:18.7,3025.75,-162.67,-481.32,153.39
01:18.7,3027.9,-163.68,-479.43,155.37
01:18.7,3030.06,-164.71,-477.52,157.33
01:18.8,3032.27,-165.76,-475.59,159.26
01:18.8,3034.49,-166.82,-473.63,161.16
01:18.9,3036.74,-167.91,-471.66,163.03
01:19.0,3039.02,-169.01,-469.67,164.85
01:19.0,3041.32,-170.13,-467.66,166.64
01:19.1,3043.65,-171.26,-465.63,168.43
01:19.1,3046,-172.4,-463.57,170.22
01:19.2,3048.38,-173.55,-461.49,171.95
01:19.2,3050.78,-174.71,-459.38,173.65
01:19.3,3053.2,-175.86,-457.25,175.35
01:19.3,3055.65,-177.02,-455.1,176.99
01:19.3,3058.12,-178.18,-452.92,178.62
01:19.4,3060.61,-179.35,-450.72,180.23
01:19.5,3063.12,-180.51,-448.49,181.78
01:19.5,3065.66,-181.68,-446.24,183.38
01:19.6,3068.21,-182.84,-443.96,184.96
01:19.6,3070.79,-183.99,-441.65,186.52
01:19.7,3073.39,-185.14,-439.32,188.04
01:19.7,3076.02,-186.29,-436.96,189.53
01:19.8,3078.66,-187.43,-434.58,191.04
01:19.8,3081.32,-188.57,-432.17,192.54
01:19.8,3084.01,-189.7,-429.74,193.99
01:19.9,3086.71,-190.83,-427.28,195.37
01:20.0,3089.44,-191.95,-424.8,196.76
01:20.0,3092.18,-193.08,-422.3,198.11
01:20.0,3094.94,-194.2,-419.78,199.52
01:20.1,3097.72,-195.33,-417.23,200.91
01:20.1,3100.52,-196.45,-414.67,202.25
01:20.2,3103.34,-197.57,-412.08,203.57
01:20.3,3106.17,-198.68,-409.47,204.93
01:20.3,3109.03,-199.78,-406.84,206.23
01:20.3,3111.9,-200.88,-404.18,207.52
01:20.4,3114.8,-201.97,-401.5,208.79
01:20.4,3117.7,-203.05,-398.81,209.97
01:20.5,3120.63,-204.14,-396.09,211.17
01:20.5,3123.57,-205.23,-393.36,212.41
01:20.6,3126.53,-206.31,-390.6,213.72
01:20.7,3129.5,-207.38,-387.83,214.95
01:20.7,3132.5,-208.43,-385.02,216.14
01:20.8,3135.51,-209.47,-382.2,217.33
01:20.8,3138.54,-210.5,-379.35,218.49
01:20.8,3141.58,-211.54,-376.49,219.65
01:20.9,3144.64,-212.57,-373.61,220.81
01:21.0,3147.71,-213.59,-370.71,221.96
01:21.0,3150.8,-214.6,-367.79,223.1
01:21.1,3153.91,-215.61,-364.85,224.22
01:21.1,3157.03,-216.6,-361.89,225.33
01:21.2,3160.17,-217.59,-358.92,226.41
01:21.2,3163.32,-218.58,-355.92,227.47
01:21.2,3166.48,-219.56,-352.91,228.54
01:21.3,3169.67,-220.53,-349.88,229.64
01:21.3,3172.86,-221.49,-346.83,230.71
01:21.4,3176.08,-222.45,-343.77,231.76
01:21.5,3179.3,-223.39,-340.68,232.8
01:21.5,3182.54,-224.34,-337.58,233.81
01:21.5,3185.8,-225.28,-334.47,234.82
01:21.6,3189.06,-226.21,-331.34,235.82
01:21.6,3192.35,-227.14,-328.19,236.82
01:21.7,3195.64,-228.06,-325.02,237.82
01:21.8,3198.95,-228.96,-321.84,238.79
01:21.8,3202.28,-229.85,-318.63,239.75
01:21.8,3205.61,-230.71,-315.41,240.68
01:21.9,3208.96,-231.57,-312.18,241.56
01:22.0,3212.32,-232.41,-308.92,242.45
01:22.0,3215.69,-233.25,-305.65,243.4
01:22.0,3219.08,-234.06,-302.37,244.34
01:22.1,3222.48,-234.86,-299.06,245.24
01:22.2,3225.89,-235.63,-295.74,246.15
01:22.2,3229.32,-236.39,-292.4,247.04
01:22.2,3232.76,-237.14,-289.04,247.93
01:22.3,3236.21,-237.88,-285.67,248.82
01:22.3,3239.67,-238.6,-282.29,249.68
01:22.4,3243.14,-239.3,-278.88,250.54
01:22.5,3246.63,-240,-275.47,251.4
01:22.5,3250.13,-240.68,-272.04,252.24
01:22.6,3253.63,-241.35,-268.6,253.09
01:22.6,3257.16,-242.01,-265.14,253.92
01:22.7,3260.69,-242.66,-261.66,254.74
01:22.7,3264.23,-243.29,-258.18,255.56
01:22.7,3267.79,-243.9,-254.68,256.37
